Label,Count
bug,2008
enhancement,1042
documentation,980
dependency-update,523
test-failure,521
compiler,504
feature-request,495
ui,488
build,466
compiler-error,433
api,430
performance,408
testing,371
ci,333
runtime,306
dependency-upgrade,253
test,225
security,221
cli,209
regression,203
editor,194
database,193
feature,187
build-system,179
esql,156
terminal,150
gopls,141
logging,138
plugin,138
windows,134
runtime-error,125
type-system,119
gradle,118
configuration,116
dynamo,116
rendering,114
syntax,110
web,106
behavior,98
extension,95
accessibility,93
docker,93
dependency-management,93
maven,90
spring-framework,89
trait,88
spring-boot,87
typescript,86
integration,86
crash,83
panic,83
dependency,82
integration-test,80
sql,79
error,76
optimization,75
docs,72
dependency-resolution,71
compile-error,70
http,70
search,68
type-error,68
crypto,65
tooling,65
language,64
core,63
aot,62
instrumentation,61
cuda,61
spel,59
memory-leak,58
android,58
networking,57
lifetime,57
distributed,57
python,56
codegen,56
upgrade,56
java,56
installation,55
cache,55
rustc,55
inductor,55
layout,54
reactor,54
css,53
messaging,53
pulsar,52
workspace,51
component,51
kotlin,51
mvc,51
config,50
jit,50
debugger,49
deprecation,49
build-failure,49
chat,48
cpu,48
micrometer,48
error-message,47
improvement,47
ux,46
user-interface,46
tracing,46
std,46
rustdoc,46
memory,45
httpclient,45
telemetry,44
parser,44
metrics,44
frontend,44
mir,44
spring-data,44
workflow,43
autograd,43
ddl,43
authentication,42
async,42
server,42
segfault,42
migration,42
onnx,42
mps,42
infrastructure,40
jdbc,40
compiler-bug,39
tomcat,39
compile-time,38
cgo,38
functionality,37
import,36
ios,36
index,36
compilation,36
debug,35
completion,35
os,35
concurrency,35
kafka,35
query-planner,35
renderer,34
web-server,34
network,34
llvm,34
suggestion,33
generics,33
memory-safety,33
compatibility,33
dependencies,33
ownership,33
attention,33
reactive,33
r2dbc,33
jetty,33
native-image,33
language-server,32
dom,32
routing,32
graphql,32
optimizer,32
ssl,32
auto-configuration,32
extensions,31
markdown,31
diagnostics,31
struct,31
compiler-behavior,31
aten,31
x-pack,31
settings,30
environment,30
command-line,30
template,30
json,30
enum,30
indexing,30
theme,29
type-bug,29
sync,29
api-change,29
serialization,29
packaging,29
testfailure,29
dependency-conflict,29
neo4j,29
webflux,29
macos,28
debugging,28
refactoring,28
linking,28
metadata,28
warning,28
analysis,28
const-eval,28
tensor,28
executor,28
validation,28
input,27
linux,27
formatting,27
gc,27
doc,27
macro,27
gui,27
torch-compile,27
actuator,27
opcache,27
tikv,27
workbench,26
bugs,26
encoding,26
website,26
bootstrap,26
toolchain,25
fuzzing,25
iterator,25
data-race,25
torch.compile,25
notebook,24
caching,24
error-handling,24
language-feature,24
flaky,24
release,24
cmake,24
nn,24
