Label,is_non_descriptive_label
action/run-br-cross-platform-build,
affects-4.0,True
affects-5.0,True
affects-5.1,True
affects-5.2,True
affects-5.3,True
affects-5.4,True
affects-6.0,True
affects-6.1,True
affects-6.2,True
affects-6.3,True
affects-6.4,True
affects-6.5,True
affects-6.6,True
affects-7.0,True
affects-7.1,True
affects-7.2,True
affects-7.3,True
affects-7.4,True
affects-7.5,True
affects-7.6,True
affects-8.0,True
affects-8.1,True
affects-8.2,True
affects-8.3,True
affects-8.4,True
affects-8.5,True
affects-9.0,True
approved,True
challenge-program,
cherry-pick-approve,True
cherry-pick-approved,True
classic,
compatibility-breaker,
compatibility-mariadb,
compatibility-mysql8,
compatibility-mysql80,
compatibility-mysql84,
compatibility-oracle,
component/bindinfo,
component/binlog,
component/br,
component/build,
component/charset,
component/config,
component/coprocessor,
component/ddl,
component/deployment,
component/docs,
component/dumpling,
component/DXF,
component/executor,
component/expression,
component/GC,
component/global-sort,
component/import,
component/infoschema,
component/jdbc,
component/json,
component/lightning,
component/metrics,
component/mysql-protocol,
component/observability,
component/parser,
component/pd,
component/plugin,
component/privilege,
component/server,
component/session,
component/spm,
component/statistics,
component/store,
component/syncer,
component/tablepartition,
component/test,
component/ticdc,
component/tiflash,
component/tikv,
component/tikv-client,
component/tools,
component/unistore,
component/util,
component/wasm,
contribution,
dco-signoff: no,True
dco-signoff: yes,True
dependencies,
difficulty/easy,True
difficulty/hard,True
difficulty/medium,True
do-not-merge/blocked-paths,True
do-not-merge/cherry-pick-not-approved,True
do-not-merge/hold,True
do-not-merge/invalid-owners-file,True
do-not-merge/invalid-title,True
do-not-merge/needs-linked-issue,True
do-not-merge/needs-tests-checked,True
do-not-merge/needs-triage-completed,True
do-not-merge/release-note-label-needed,True
do-not-merge/work-in-progress,True
duplicate,True
epic/access-path,
epic/cardinality-estimation,
epic/copr-cache,
epic/cost-model,
epic/hint,
epic/memory-management,
epic/plan-cache,
epic/query-feedback-GA,
epic/slow-query,
epic/sql-plan-management,
feature/accepted,True
feature/developing,True
feature/discussing,True
feature/rejected,True
feature/reviewing,True
first-time-contributor,True
fixes-5.1.2,True
fixes-5.1.3,True
fixes-5.1.4,True
fixes-5.2.0,True
fixes-5.3.0,True
fixes-5.4.0,True
fixes-5.4.1,True
fixes-6.0.0,True
fixes-6.1.0,True
fixes-6.4.0,True
fixes-6.5.2,True
fixes-6.5.5,True
fixes-6.5.6,True
fixes-6.6.0,True
fixes-7.1.1,True
fixes-7.1.3,True
fixes-7.5.0,True
fixes-7.5.1,True
fixes-8.0,True
found/automation,
found/dbaas,
found/gs,
fuzz/comp,
fuzz/randomtest,
fuzz/schrddl,
fuzz/sqlancer,
go,
good first issue,True
hacktoberfest,True
help wanted,True
impact/crash,
impact/func-failure,
impact/inconsistency,
impact/leak,
impact/oom,
impact/panic,
impact/perf-jitter,
impact/upgrade,
impact/wrong-result,
index-join-refactor-epic,
information_schema,
internal-check,
invalid,
java,
javascript,
label-for-test,True
lgtm,
may-affect-6.5,True
may-affects-4.0,True
may-affects-5.0,True
may-affects-5.1,True
may-affects-5.2,True
may-affects-5.3,True
may-affects-5.4,True
may-affects-6.0,True
may-affects-6.1,True
may-affects-6.2,True
may-affects-6.3,True
may-affects-6.4,True
may-affects-6.5,True
may-affects-6.6,True
may-affects-7.1,True
may-affects-7.5,True
may-affects-8.1,True
may-affects-8.5,True
MPP,
need-br-build,True
need-br-compatibility-test,True
needs-1-more-lgtm,True
needs-cherry-pick-release-4.0,True
needs-cherry-pick-release-5.0,True
needs-cherry-pick-release-5.1,True
needs-cherry-pick-release-5.2,True
needs-cherry-pick-release-5.3,True
needs-cherry-pick-release-5.4,True
needs-cherry-pick-release-6.0,True
needs-cherry-pick-release-6.1,True
needs-cherry-pick-release-6.2,True
needs-cherry-pick-release-6.3,True
needs-cherry-pick-release-6.4,True
needs-cherry-pick-release-6.5,True
needs-cherry-pick-release-6.6,True
needs-cherry-pick-release-7.0,True
needs-cherry-pick-release-7.1,True
needs-cherry-pick-release-7.2,True
needs-cherry-pick-release-7.3,True
needs-cherry-pick-release-7.4,True
needs-cherry-pick-release-7.5,True
needs-cherry-pick-release-7.6,True
needs-cherry-pick-release-8.0,True
needs-cherry-pick-release-8.1,True
needs-cherry-pick-release-8.2,True
needs-cherry-pick-release-8.3,True
needs-cherry-pick-release-8.4,True
needs-cherry-pick-release-8.5,True
needs-cherry-pick-release-9.0-beta.1,True
needs-cherry-pick-release-9.0-beta.2,True
needs-ok-to-test,True
needs-rebase,True
nextgen,
ok-to-test,True
plan-rewrite,
planner-task-type-refactor-epic,
planner/cascades,
planner/join-order,
priority/P0,True
priority/P1,True
priority/P2,True
priority/P3,True
priority/P4,True
priority/release-blocker,True
proposal,
python,
question,
refactor/new-name-resolution,
release-note,True
release-note-none,True
report/community,
report/customer,
require-LGT1,True
require-LGT2,True
require-LGT3,True
security,
severity/critical,True
severity/major,True
severity/minor,True
severity/moderate,True
sig/diagnosis,
sig/execution,
sig/migrate,
sig/planner,
sig/sql-infra,
sig/transaction,
sig/vector,
size/L,True
size/M,True
size/S,True
size/XL,True
size/XS,True
size/XXL,True
skip-issue-check,True
status/can-merge,True
status/LGT1,True
status/LGT2,True
status/LGT3,True
status/LGT4,True
status/LGT5,True
tiara,
tide/merge-method-merge,
tide/merge-method-rebase,
tide/merge-method-squash,
type/2.1-cherry-pick,True
type/3.0-cherry-pick,True
type/3.1-cherry-pick,True
type/4.0-cherry-pick,True
type/5.0-cherry-pick,True
type/5.1-cherry-pick,True
type/5.2-cherry-pick,True
type/5.3-cherry-pick,True
type/5.4-cherry-pick,True
type/6.0-cherry-pick,True
type/6.1-cherry-pick,True
type/6.2-cherry-pick,True
type/6.3-cherry-pick,True
type/6.6-cherry-pick,True
type/bug,
type/bugfix,
type/cherry-pick-for-6.5,True
type/cherry-pick-for-feature/next-gen-tidb,
type/cherry-pick-for-master,True
type/cherry-pick-for-release-4.0,True
type/cherry-pick-for-release-5.0,True
type/cherry-pick-for-release-5.1,True
type/cherry-pick-for-release-5.2,True
type/cherry-pick-for-release-5.3,True
type/cherry-pick-for-release-5.4,True
type/cherry-pick-for-release-6.1,True
type/cherry-pick-for-release-6.1-20220824,True
type/cherry-pick-for-release-6.1-20230515-v6.1.6,True
type/cherry-pick-for-release-6.4,True
type/cherry-pick-for-release-6.5,True
type/cherry-pick-for-release-6.5-20230122-v6.5.0,True
type/cherry-pick-for-release-6.5-20230314-v6.5.1,True
type/cherry-pick-for-release-6.5-20230329-v6.5.1,True
type/cherry-pick-for-release-6.5-20230424-v6.5.2,True
type/cherry-pick-for-release-6.5-20230425-v6.5.2,True
type/cherry-pick-for-release-6.5-20230608-v6.5.2,True
type/cherry-pick-for-release-6.5-20230625-v6.5.3,True
type/cherry-pick-for-release-6.5-20230710-v6.5.2,True
type/cherry-pick-for-release-6.5-20230718-v6.5.2,True
type/cherry-pick-for-release-6.5-20231019-v6.5.1,True
type/cherry-pick-for-release-6.5-20231229-v6.5.6,True
type/cherry-pick-for-release-6.5-20241009-v6.5.10,True
type/cherry-pick-for-release-6.5-20241112-v6.5.11,True
type/cherry-pick-for-release-6.5-20241213-v6.5.11,True
type/cherry-pick-for-release-6.5-20250805-v6.5.12,True
type/cherry-pick-for-release-6.5-20250918-v6.5.10,True
type/cherry-pick-for-release-6.6-20230614-v6.6.0,True
type/cherry-pick-for-release-7.0,True
type/cherry-pick-for-release-7.1,True
type/cherry-pick-for-release-7.1-20230706-v7.1.0,True
type/cherry-pick-for-release-7.1-20230808-v7.1.0,True
type/cherry-pick-for-release-7.1-20230818-v7.1.1,True
type/cherry-pick-for-release-7.1-20240320-v7.1.3,True
