label,is_non_descriptive_label
$20,True
$200,True
$250,True
$300,True
$50,True
$500,True
$70,True
backport/done,True
backport/manual,True
backport/v1.24,True
backport/v1.25,True
dependencies,
docs-update-needed,
frontport/done,True
frontport/main,True
giteabot/toc-reminded,
giteabot/update-branch,
go,
good first issue,True
hacktoberfest,True
issue/bounty,True
issue/confirmed,True
issue/critical,True
issue/duplicate,True
issue/needs-feedback,True
issue/not-a-bug,
issue/regression,
issue/stale,True
issue/workaround,
javascript,
lgtm/blocked,True
lgtm/done,True
lgtm/need 1,True
lgtm/need 2,True
modifies/api,
modifies/cli,
modifies/dependencies,
modifies/docs,
modifies/frontend,
modifies/go,
modifies/internal,
modifies/js,
modifies/migrations,
modifies/templates,
modifies/translation,
outdated/backport/v1.18,True
outdated/backport/v1.19,True
outdated/theme/markdown,
outdated/theme/timetracker,
performance/bigrepo,
performance/cpu,
performance/memory,
performance/speed,
pr/breaking,
pr/last-call,
pr/wip,
proposal/accepted,True
proposal/rejected,True
reviewed/prioritize-merge,True
reviewed/wait-merge,True
reviewed/wontfix,True
skip-changelog,
status/blocked,True
topic/accessibility,
topic/api,
topic/authentication,
topic/build,
topic/code-linting,
topic/commit-signing,
topic/content-rendering,
topic/deployment,
topic/distribution,
topic/federation,
topic/gitea-actions,
topic/issues,
topic/lfs,
topic/mobile,
topic/moderation,
topic/packages,
topic/pr,
topic/projects,
topic/repo,
topic/repo-migration,
topic/security,
topic/theme,
topic/ui,
topic/ui-interaction,
topic/ux,
topic/webhooks,
topic/wiki,
type/bug,
type/changelog,
type/compliance,
type/deprecation,
type/docs,
type/enhancement,
type/feature,
type/miscellaneous,
type/proposal,
type/question,
type/refactoring,
type/summary,
type/testing,
type/upstream,
💎 Bounty,
💰 Rewarded,
🙋 Bounty claim,
