Label,is_non_descriptive_label
*as-designed,True
*caused-by-extension,True
*dev-question,
*duplicate,True
*edu,
*english-please,True
*extension-candidate,True
*not-reproducible,True
*off-topic,True
*out-of-scope,True
*question,
*trigger-cache-update,
*workspace-trust-docs,
~accessibility-sla,
~agent-behavior,
~capi,
~chat-authentication,
~chat-billing,
~chat-infinite-response-loop,
~chat-lm-unavailable,
~chat-no-response-returned,
~chat-public-code-blocking,
~chat-rai-content-filters,
~chat-rate-limiting,
~chat-request-failed,
~confirmation-needed,True
~copilot-video-please,True
~find-duplicates,True
~info-needed,True
~spam,True
~verification-steps-needed,True
~version-info-needed,True
a11y-partner,
a11ymas,
accessibility,
accessibility-signal,
accessibility-sla,
agent-behavior,
AI,
ai-translated,
analytics,
android,
api,
api-finalization,True
api-proposal,True
appcenter,
authentication,
authentication-github,
authentication-microsoft,
author-verification-requested,True
auto-model,
bisect-ext,
blocked,True
bot-proposal,
bracket-pair-colorization,
bracket-pair-guides,
breadcrumbs,
bug,
c,
c#,
c++,
callhierarchy,
candidate,
canjd,
capi,
changes-requested,True
chat,
chat-agent,
chat-agent-editing,
chat-agents-view,
chat-authentication,
chat-billing,
chat-cli-integration,
chat-codebase,
chat-custom-modes,
chat-editor,
chat-ext-issue,
chat-external-agent,
chat-files-summary,
chat-fix,
chat-infinite-response-loop,
chat-input,
chat-language-context,
chat-lm-management,
chat-lm-unavailable,
chat-mcp,
chat-mcp-management,
chat-new-workspace,
chat-notebook,
chat-participants,
chat-plan-agent,
chat-pr-title,
chat-prompts,
chat-public-code-blocking,
chat-rai-content-filters,
chat-rate-limiting,
chat-request-failed,
chat-response,
chat-review,
chat-semantic-search,
chat-setup,
chat-subagents,
chat-terminal,
chat-terminal-output-monitor,
chat-todos,
chat-tools,
chat-toolsets,
chat-undo,
chat-vision,
chrome-devtools,
chromium,
claude,
cloud-changes,
code-cli,
code-lens,
code-server-web,
command-center,
comments,
config,
confirm-with-newer-runtime,True
confirmation-pending,True
confirmed,True
containers,
content-exclusions,
context-keys,
continue-working-on,True
copilot-agent,
copilot-chat,
copilot-no-auth,
cross-file-editing,
css-less-scss,
custom-editors,
deb,
debt,
debug,
debug-console,
debug-disassembly,
debug-triggered-breakpoint,
deferred,
dependencies,
dialogs,
diff-editor,
docs-experience,
dropdown,
edge,
editor-api,
editor-autoclosing,
editor-autoindent,
editor-bracket-matching,
editor-clipboard,
editor-code-actions,
editor-color-picker,
editor-columnselect,
editor-commands,
editor-comments,
editor-contrib,
editor-core,
editor-drag-and-drop,
editor-edit-context,
editor-error-widget,
editor-find,
editor-folding,
editor-gpu,
editor-highlight,
editor-hover,
editor-indent-detection,
editor-indent-guides,
editor-input,
editor-input-IME,
editor-insets,
editor-lines,
editor-minimap,
editor-multicursor,
editor-output,
editor-parameter-hints,
editor-refactor-preview,
editor-render-whitespace,
editor-rendering,
editor-RTL,
editor-scrollbar,
editor-sorting,
editor-sticky-scroll,
editor-sticky-scroll-decorations,
editor-symbols,
editor-synced-region,
editor-textbuffer,
editor-theming,
editor-widgets,
editor-wordnav,
editor-wrapping,
electron,
electron-12-update,True
electron-13-update,True
electron-16-update,True
electron-17-update,True
electron-18-update,True
electron-19-update,True
electron-22-update,True
electron-24-update,True
electron-25-update,True
electron-27-update,True
electron-28-update,True
electron-29-update,True
electron-32-update,True
electron-34-update,True
electron-35-update,True
electron-blocker,True
emmet,
emmet-parse,
endgame-plan,
engineering,
error-list,
error-telemetry,
ESM,
exploration,
extension-activation,
extension-host,
extension-prerelease,
extension-recommendations,
extension-signature,
extensions,
extensions-development,
extensions-editor,
feature-request,
fetch-tool,
file-decorations,
file-encoding,
file-explorer,
file-glob,
file-io,
file-nesting,
file-watcher,
firefox,
fixed-in-electron-13,True
fixed-in-electron-14,True
fixed-in-electron-16,True
fixed-in-electron-17,True
fixed-in-electron-18,True
fixed-in-electron-19,True
fixed-in-electron-20,True
fixed-in-electron-21,True
fixed-in-electron-22,True
fixed-in-electron-25,True
fixed-in-electron-27,True
fixed-in-electron-28,True
flaky-test,
font-rendering,
formatting,
freeze-slow-crash-leak,
gemini,
getting-started,
ghcs-adoption-needed,True
ghcs-in-progress,True
ghcs-pushed,True
ghcs-scenario-blocking,True
ghcs-scenario-found,True
ghost-text,
git,
github,
github_actions,
github-codespaces,
github-mcp-server,
github-repositories,
go,
good first issue,True
gpu,
grammar,
grid-widget,
hackathon,True
hacktoberfest,True
hacktoberfest-accepted,True
help translation,True
help wanted,True
html,
icon-brand,
icons-product,
icons-widget,
image-preview,
important,True
info-needed,True
inlay-hints,
inline-chat,
inline-chat-v1,True
inline-chat-v2,True
inline-completions,
inline-completions-service,
insiders-released,
install-update,
integration-test-failure,
intellisense-config,
interactive-playground,
interactive-window,
invalid,True
invalid-testplan-item,True
ios-ipados,
issue-bot,
issue-reporter,
iteration-plan,
iteration-plan-draft,
javascript,
json,
json-sorting,
keep,
keybindings,
keybindings-editor,
keyboard-layout,
keychain,
L10N,
l10n-platform,
label-provider,
languages-basic,
languages-diagnostics,
languages-guessing,
latex,
layout,
lcd-text-rendering,
license,
linux,
list-widget,
live-demo-blocker,
live-preview,
lm-access,
log,
lua,
macos,
macos-big-sur,
macos-catalina,
macos-monterey,
macos-sequoia,
macos-ventura,
markdown,
marketplace,
menus,
merge-conflict,
merge-editor,
merge-editor-workbench,
mitigated,
model-byok,
model-picker,
model-upgrade,
mojave,
monaco-editor,
msal-logs-requested,
msal-upstream-opened,
multi-diff-editor,
multi-monitor,
native-file-dialog,
needs-classifier-review,
NES,
NES-extension,
NES-ux,
network,
nls,
nodejs,
notebook,
notebook-accessibility,
notebook-api,
notebook-cell-editor,
notebook-celltoolbar,
notebook-clipboard,
notebook-code-actions,
notebook-commands,
notebook-debugging,
