Label,is_non_descriptive_label
adapters,
After,
Backport,
benchmark,
Broken Link,
bug,
Cache Components,
CI approved,
CI Bypass Graphite Optimization,
Connection,
Cookies,
create-next-app,
created-by: CI,
created-by: Next.js DevEx team,
created-by: Next.js Docs team,
created-by: Next.js team,
created-by: Turbopack team,
CSS,
Depth,
Documentation,
Draft Mode,
Dynamic Routes,
Error Handling,
Error Overlay,
examples,
Font (next/font),
Form (next/form),
Freeze: Scheduled Release,True
good first issue,True
hacktoberfest-accepted,True
Headers,
Image (next/image),
Improvement,
Instrumentation,
Internationalization (i18n),
invalid link,
Lazy Loading,
linear: docs,
linear: next,
linear: turbopack,
Linking and Navigating,
Linting,
Loading UI and Streaming,
locked,
Markdown (MDX),
Metadata,
Middleware,
Missing,
Module Resolution,
Not Found,
not stale,
Output,
Pages Router,
Parallel & Intercepting Routes,
Performance,
please add a complete reproduction,True
please simplify reproduction,True
please use the correct issue template,True
please verify canary,True
React,
Redirects,
resolved,True
Root params,
Route Groups,
Route Handlers,
Rspack,
run-react-18-tests,True
Runtime,
Script (next/script),
Server Actions,
stale,
SWC,
Testing,
tests,
Turbopack,
Turbopack Panic Backtrace,
type: next,
type: react-sync,
TypeScript,
Upstream,
Webpack,
