representative_label_by_embedding,count,representative_label_by_count,count,total_count,cluster
bug,14650,bug,14650,14650,['bug']
enhancement,1655,enhancement,1655,1655,['enhancement']
topic:documentation,2,documentation,2591,2599,"['documentation', 'category: documentation', 'topic/documentation', 'topic:documentation']"
dependency upgrade,971,dependency upgrade,971,1545,"['dependency update', 'dependency upgrade', 'dependencyupgrade', 'dependencyupdate', 'type:dependency upgrade', 'dependencies upgrade', 'dependencies update']"
test failure,1026,test failure,1026,1049,"['test failure', 'test failures', 'unit test failure', 'testing failure', 'test/failure', 'unittest failure']"
compiler,1145,compiler,1145,1152,"['compiler', 'compilers', 'a compiler']"
feature request,2225,feature request,2225,2227,"['feature request', 'feature requests']"
ui/ux,3,ui,1340,1356,"['ui', 'ui ux', 'ui/ux']"
build,895,build,895,895,['build']
compilation error,81,compiler error,493,1082,"['compiler error', 'compile error', 'compiler bug', 'compilation error', 'compile time error', 'compiler errors', 'compiler issue', 'compile time issue', 'compiler internal error', 'internal compiler error', 'miscompile', 'compilererror', 'compilation issue', 'internalcompilererror', 'compiler issues', 'compiler bugs', 'compilation bug', 'compile failure', 'compilation failure', 'compile fail', 'cpp compile error']"
api use,2,api,829,836,"['api', 'api usage', 'api use']"
performance,1955,performance,1955,1955,['performance']
tests,39,testing,1629,2214,"['testing', 'test', 'tests']"
ci,744,ci,744,744,['ci']
runtime,626,runtime,626,626,['runtime']
security,819,security,819,819,['security']
cli,420,cli,420,420,['cli']
regression,441,regression,441,441,['regression']
editor,593,editor,593,593,['editor']
database,1070,database,1070,1070,['database']
feature,440,feature,440,440,['feature']
build system,391,build system,391,395,"['build system', 't build system']"
esql,252,esql,252,252,['esql']
terminal,454,terminal,454,454,['terminal']
gopls,339,gopls,339,339,['gopls']
log,14,logging,463,479,"['logging', 'general log', 'log']"
plugins,9,plugin,269,278,"['plugin', 'plugins']"
windows,415,windows,415,415,['windows']
runtime error,393,runtime error,393,439,"['runtime error', 'runtimeerror', 'runtime issue', 'runtime errors', 'runtime exception', 'runtime issues']"
type system,644,type system,644,644,['type system']
gradle,295,gradle,295,295,['gradle']
configuration,999,configuration,999,999,['configuration']
dynamo,456,dynamo,456,456,['dynamo']
rendering,320,rendering,320,324,"['rendering', 'render', 'image rendering']"
syntax,255,syntax,255,255,['syntax']
web,306,web,306,306,['web']
behavior,138,behavior,138,138,['behavior']
extension,256,extension,256,313,"['extension', 'extensions']"
accessibility,228,accessibility,228,230,"['accessibility', 'accessibility issues']"
docker,291,docker,291,291,['docker']
domain: dependency management,3,dependency management,491,501,"['dependency management', 'dependencymanagement', 'domain: dependency management', 'domain:dependencies', 'topic:dependency management']"
maven,224,maven,224,224,['maven']
spring boot 3,3,spring boot,1725,2310,"['spring framework', 'spring boot', 'spring boot 3.4', 'spring boot core', 'spring boot 3.2', 'spring boot 3.3', 'spring boot 3.x', 'spring framework 6.1', 'spring framework core', 'spring boot 2.x', 'springframework', 'spring framework 6.2', 'spring core', 'spring framework 6', 'spring boot 3.4.x', 'spring boot 3', 'springboot', 'framework spring boot']"
trait,171,trait,171,247,"['trait', 'traits']"
typescript,386,typescript,386,390,"['typescript', 'topic: typescript', 'typescript support']"
integration,285,integration,285,285,['integration']
crash,644,crash,644,644,['crash']
panic,244,panic,244,244,['panic']
dependency problem,3,dependency,397,783,"['dependency', 'dependencies', 'dependency conflict', 'dependency issue', 'dependency issues', 'dependency problem', 'missing dependency']"
integration testing,27,integration test,420,488,"['integration test', 'integration tests', 'integrationtests', 'integrationtest', 'test integration', 'integration testing']"
sql,420,sql,420,420,['sql']
error,270,error,270,288,"['error', 'errors']"
topic: optimization,4,optimization,668,678,"['optimization', 'topic: optimization', 'topic:optimization', 'domain: optimization', 'optimizations']"
docs,181,docs,181,181,['docs']
dependency resolution,171,dependency resolution,171,171,['dependency resolution']
http,284,http,284,284,['http']
search,201,search,201,201,['search']
type bug,79,type: bug,94,468,"['type error', 'type bug', 'type:bug', 'type mismatch', 'type: bug', 'type/bug', 'type issue', 'type incorrectness', 'type unsoundness', 'type: issue', 'type: bugfix', 'type/issue', 'type system bug', 'type checking bug', 'type:issue', 'types issue', 'incompatible types']"
crypto,206,crypto,206,206,['crypto']
tooling,199,tooling,199,199,['tooling']
language,262,language,262,262,['language']
core,216,core,216,216,['core']
aot,157,aot,157,157,['aot']
instrumentation,70,instrumentation,70,70,['instrumentation']
cuda,326,cuda,326,334,"['cuda', 'cuda support']"
spel,144,spel,144,144,['spel']
memory leak,245,memory leak,245,251,"['memory leak', 'resource leak', 'memory leaks']"
android,147,android,147,147,['android']
networking,125,networking,125,125,['networking']
lifetime,106,lifetime,106,120,"['lifetime', 'lifetimes']"
distributed,126,distributed,126,126,['distributed']
python,454,python,454,454,['python']
codegen,146,codegen,146,146,['codegen']
upgrade,2079,upgrade,2079,2106,"['upgrade', 'upgrades', 'upgrading']"
java,1923,java,1923,1923,['java']
installation,203,installation,203,235,"['installation', 'install']"
cache,195,cache,195,302,"['cache', 'caching']"
rustdoc,114,rustc,381,504,"['rustc', 'rustdoc', 't rustdoc']"
inductor,243,inductor,243,245,"['inductor', 'topic: inductor']"
layout,199,layout,199,199,['layout']
reactor,170,reactor,170,170,['reactor']
css,208,css,208,210,"['css', 'css styles']"
messaging,63,messaging,63,63,['messaging']
pulsar,115,pulsar,115,115,['pulsar']
workspaces,21,workspace,96,128,"['workspace', 'workspaces', 'workspace support', 'workspace management']"
components,19,component,135,154,"['component', 'components']"
kotlin,155,kotlin,155,164,"['kotlin', 'language kotlin', 'kotlin support']"
mvc,65,mvc,65,68,"['mvc', 'web mvc']"
config,91,config,91,91,['config']
jit,159,jit,159,159,['jit']
debug,67,debugging,253,454,"['debugger', 'debug', 'debugging', 'debuginfo', 'a debuginfo', 'debug info', 'software debugging', 'debugging issue', 'debugger issue']"
deprecation,154,deprecation,154,154,['deprecation']
build issue,162,build failure,180,370,"['build failure', 'build error', 'build issue', 'build issues', 'build problem']"
chat,139,chat,139,139,['chat']
cpu,179,cpu,179,181,"['cpu', 'processor']"
micrometer,147,micrometer,147,147,['micrometer']
error message,184,error message,184,187,"['error message', 'error messages']"
improvement,316,improvement,316,316,['improvement']
ux,128,ux,128,128,['ux']
user interface,274,user interface,274,276,"['user interface', 'user interfaces']"
tracing,192,tracing,192,192,['tracing']
std,91,std,91,91,['std']
memory,96,memory,96,96,['memory']
httpclient,59,httpclient,59,59,['httpclient']
telemetry,138,telemetry,138,138,['telemetry']
parser error,5,parser,136,293,"['parser', 'parsing', 'parse error', 'syntax error', 'parsing error', 'parser issue', 'parse', 'parser error', 'parser bug', 'invalid syntax']"
metrics,220,metrics,220,224,"['metrics', 'metric']"
frontend,109,frontend,109,111,"['frontend', 'front end']"
mir,87,mir,87,87,['mir']
spring data,165,spring data,165,169,"['spring data', 'spring data jpa']"
workflows,3,workflow,75,80,"['workflow', 'workflows', 'workflow management']"
autograd,158,autograd,158,158,['autograd']
ddl,82,ddl,82,82,['ddl']
authentication,128,authentication,128,128,['authentication']
async,123,async,123,175,"['async', 'async runtime', 'async support', 'async programming', 'async execution', 'async operation', 'async issue', 'async handling', 'asynchronous']"
server,122,server,122,122,['server']
segfault,152,segfault,152,152,['segfault']
migration,158,migration,158,163,"['migration', 'migrate', 'migrations']"
onnx,122,onnx,122,122,['onnx']
mps,98,mps,98,98,['mps']
infrastructure,174,infrastructure,174,174,['infrastructure']
jdbc,100,jdbc,100,100,['jdbc']
tomcat,129,tomcat,129,129,['tomcat']
compile time,41,compile time,41,44,"['compile time', 'compilation time']"
cgo,100,cgo,100,100,['cgo']
functionality,91,functionality,91,91,['functionality']
import,113,import,113,113,['import']
ios,121,ios,121,121,['ios']
index,79,index,79,79,['index']
compiling,5,compilation,272,305,"['compilation', 'compile', 'compiling', 'category: compilation']"
completion,129,completion,129,140,"['completion', 'completions']"
os,119,os,119,123,"['os', 'os windows']"
concurrency,252,concurrency,252,252,['concurrency']
kafka,87,kafka,87,87,['kafka']
query plan,6,query planner,40,57,"['query planner', 'query plan', 'query planning']"
renderer,41,renderer,41,41,['renderer']
web server,53,web server,53,80,"['web server', 'webserver', 'http server']"
network,173,network,173,173,['network']
llvm,99,llvm,99,99,['llvm']
suggestion,104,suggestion,104,147,"['suggestion', 'suggest', 'suggestions']"
generics,86,generics,86,111,"['generics', 'generic']"
memory safety,95,memory safety,95,95,['memory safety']
compatibility,259,compatibility,259,259,['compatibility']
ownership,40,ownership,40,40,['ownership']
attention,44,attention,44,44,['attention']
reactive,80,reactive,80,80,['reactive']
r2dbc,95,r2dbc,95,95,['r2dbc']
jetty,86,jetty,86,86,['jetty']
native image,97,native image,97,97,['native image']
language server,89,language server,89,107,"['language server', 'domain language server', 'domain: language server', 'language service', 'lang server']"
dom,109,dom,109,109,['dom']
routing,99,routing,99,99,['routing']
graphql,100,graphql,100,100,['graphql']
optimizer,91,optimizer,91,97,"['optimizer', 'optimizers']"
ssl,105,ssl,105,105,['ssl']
