representative_label_by_embedding,count,representative_label_by_count,count,total_count,cluster
unexpected error,3,bug,14650,17497,"['bug', 'runtime error', 'error', 'error message', 'bugs', 'error handling', 'runtimeerror', 'runtime panic', 'ui bug', 'typeerror', 'undefined behavior', 'undefinedbehaviorsanitizer', 'unstable', 'reproducibility', 'ui issue', 'runtime behavior', 'exception handling', 'runtime issue', 'internal error', 'consistency', 'runtime crash', 'unstable features', 'errors', 'stability', 'error reporting', 'syntax error', 'startup failure', 'runtime errors', 'server error', 'expected behavior', 'stabilization', 'unstable feature', 'phantom data', 'symbol conflict', 'shapeerror', 'issue', 'display issue', 'methoderror', 'fatal error', 'fatalerror', 'undefinedbehavior', 'reproducible', 'visual bug', 'incorrect behavior', 'internalerror', 'js error', 'missing symbol', 'fix', 'error page', 'undefined symbol', 'http error', 'bug fix', 'script error', 'rendering issue', 'runtime exception', 'exception message', 'keyerror', 'issue comment', 'issues', 'transient errors', 'logic error', 'errorhandling', 'data inconsistency', 'sql error', 'unexpected behavior', 'bug report', 'data mismatch', 'reliability', 'configuration issue', 'error report', 'bugfix', 'unsupported operation', 'numerical stability', 'connection issue', 'network issue', 'visual issue', 'ui behavior', 'invalid input', 'troubleshooting', 'general issue', 'javascript error', 'java exception', 'invalid code', 'uninitialized variable', 'inconsistent behavior', 'database issue', 'unexpected error', 'internal server error', 'error messages', 'undefined variable', 'production issue', 'evaluation error', 'intermittent', 'type: error message', 'android issue', 'runtime issues', 'feature bug', 'logical error', 'mismatch', 'invalid syntax', 'invalid program', 'setup issue', 'fix it', 'bug introduction', 'issue type/bug', 'category undefined behavior', 'lowering exception', 'bug fix request', 'minor issue', 'programming error', 'invalid data', 'database error', 'minor bug', 'ux issue', 'reproducible issue', 'load error', 'javascript issue', 'unstable behavior', 'website issue', 'key error', 'inconsistency', 'intermittent failure', 'robustness', 'consistency issue', 'classcastexception', 'low level error', 'gui issue', 'issue list', 'video issue', 'network error', 'browser issue', 'uninitialized', 'ui issues', 'error suggestion', 'pattern mismatch', 'suggest fix', 'fix needed', 'sanity check', 'issue report', 'ui glitch', 'rendering issues', 'production bug', 'command consistency', 'ui bugs', 'code consistency', 'op consistency', 'math error', 'init error']"
feature proposal,2,feature request,2225,5215,"['enhancement', 'feature request', 'feature', 'deprecation', 'improvement', 'suggestion', 'suggest', 'proposal', 'features', 'new feature', 'featurerequest', 'suggestions', 'feature discussion', 'language enhancement', 'missing feature', 'language improvement', 'feature index', 'deprecated', 'feature management', 'implementation', 'feature proposal', 'feature gate', 'implementation detail', 'type: feature request', 'type:feature request', 'deprecation warning', 'category:feature request', 'topic:deprecation', 'type: deprecation', 'unimplemented feature', 'category feature request', 'deprecated feature', 'feature requests', 'general improvement', 'feature change', 'suggest change', 'outdated', 'suggestion improvement', 'wording suggestion', 'incomplete implementation', 'feature interaction', 'not implemented', 'user suggestion']"
topic:documentation,2,documentation,2591,3472,"['documentation', 'docs', 'metadata', 'doc', 'annotation', 'annotation processing', 'meta', 'javadoc', 'reference', 'annotations', 'references', 'doc improvement', 'build tags', 'docusaurus', 'doc tests', 'doc issue', 'module metadata', 'docvalues', 'reference manual', 'tags', 'metaprogramming', 'manpage', 'google tag manager', 'meta programming', 'man pages', 'annotated text', 'doc values', 'test annotation', 'labels', 'tag', 'circular references', 'self reference', 'build tag', 'type: documentation', 'documentation bug', 'heredoc', 'weak references', 'autodoc', 'meta data', 'domain: documentation', 'documentation issue', 'domain:documentation', 'category: documentation', 'reference guide', 'type annotation', 'labels: api', 'undefined reference', 'java annotations', 'java annotation', 'documentation inconsistency', 'topic/documentation', 'doc content', 'documentation generation', 'reference issue', 'reference counting', 'type:documentation', 'topic:documentation', 'reference docs', 'starter metadata', 'library metadata', 'reference handling', 'metadata issue', 'doc bug', 'reference cycle', 'metadata reading', 'contract annotations', 'tag management', 'type annotations', 'doc request', 'doc test', 'documentation needed', 'metadata parsing', 'documentation suggestion', 'labeling', 'doc suggestion', 'doc link', 'documentation request', 'metadata management']"
dependency update,562,upgrade,2079,6804,"['dependency update', 'dependency upgrade', 'gradle', 'dependency management', 'dependency', 'dependency resolution', 'upgrade', 'dependencies', 'dependency conflict', 'release', 'framework upgrade', 'package manager', 'git', 'upgrades', 'gradle plugin', 'dependency injection', 'package management', 'dependency issue', 'github actions', 'update', 'repository', 'edition 2024', 'packages', 'release notes', 'pull request', 'pull requests', 'pkg', 'release management', 'multi release', 'release process', 'versioning', 'package installation', 'pkgsite', 'github', 'circular dependency', 'edition', 'dependencyinjection', 'source control', 'package resolution', 'edition 2015', 'edition 2018', 'dlpack', 'dependency issues', 'library dependency', 'dependencyupgrade', 'release workflow', 'dependencymanagement', 'dependencyupdate', 'rolling upgrade', 'version tracking', 'repo', 'git integration', 'editable install', 'dependencyresolution', 'select for update', 'auto update', 'peer dependencies', 'pkg config', 'package missing', 'dependency check', 'update guide', 'runtime dependency', 'gradcheck', 'v4', 'upgrade policy', 'dependency problem', 'upgrading', 'github api', 'repositories', 'versiontracking', 'packageissue', 'packagemanagement', 'external dependency', 'package loading', 'gitlab', 'editable packages', 'version', 'source management', 'dev dependencies', 'optional dependencies', 'self update', 'package dependency', 'package', 'github integration', 'package issue', 'upgrade issue', 'repository management', 'go/packages', 'domain:gradle', 'go packages', 'version management', 'domain:package management', 'domain: package management', 'type:dependency upgrade', 'github compatibility', 'version control', 'domain: dependency management', 'type:upgrade', 'package configuration', 'domain:dependencies', 'downgrade', 'github copilot', 'domain: git', 'third party dependency', 'dependency bump', 'bug fix version upgrade', 'release note', 'topic: versioning', 'topic:dependency management', 'type:release note', 'client upgrade', 'version bump', 'repo management', 'github migration', 'version conflict', 'go release', 'edition migration', 'edition compatibility', 'cyclic dependency', 'missing dependency', 'release candidate', 'transitive dependency', 'upgrade required', 'repository access', 'version parsing', 'circular dependencies', 'editable installs', 'prerelease', 'simple repository', 'upstream dependency', 'package versioning', 'internal package', 'test update', 'patch release', 'version upgrade', 'v2', 'pre release', 'git dependency', 'upgrade regression', 'platform dependencies', 'dependencies upgrade', 'dependencies update', 'image upgrade', 'repository verification', 'upgrade issues', 'pkg mode', 'optional dependency', 'v3.x', 'sql update']"
testing,1629,testing,1629,5422,"['test failure', 'testing', 'test', 'integration test', 'metrics', 'diagnostics', 'testfailure', 'analysis', 'fuzzing', 'flaky', 'mockito', 'flaky test', 'analyzer', 'test framework', 'experimental', 'profiler', 'testcontainers', 'monitoring', 'profiling', 'integration tests', 'stats', 'explorer', 'compiletest', 'discovery', 'test failures', 'analyze', 'test infrastructure', 'test flaky', 'test suite', 'tests', 'statistics', 'fuzz', 'diagnostic', 'mock', 'observation', 'smoke test', 'vitest', 'unittest', 'test explorer', 'area/testing', 'test improvement', 'test missing', 'go test', 'mocking', 'test related', 'needs investigation', 'ui tests', 'compile test', 'false positive', 'a diagnostics', 'test enhancement', 'a code coverage', 'unit testing', 'faketensor', 'regtest', 'system tests', 'unit tests', 'test issue', 'integrationtests', 'integrationtest', 'unit test', 'review', 'test results', 'test coverage', 'runtime test', 'inspect', 'test case', 'test execution', 'unit test failure', 'failure analysis', 'metering', 'test strategy', 'failure analyzer', 'it test', 'test integration', 'request stats', 'mockmvc', 'analysis issue', 'experimental feature', 'fuzzer', 'audit', 'test flakiness', 'integration testing', 'testkit', 'domain: testing', 'domain:testing', 'testing issue', 'fuzz testing', 'testing failure', 'area: testing', 'test/failure', 'domain/testing', 'topic: testing', 'go/test', 'area testing', 'false positives', 'diagnostic issue', 'experimental features', 'testing infrastructure', 'data analysis', 'exploration', 'parallel testing', 'ui test', 'solver', 'code coverage', 'test flake', 'test logic', 'functional test', 'build test', 'functional tests', 'investigation', 'metric', 'test environment', 'system test', 'integ test', 'test kit', 'randomized testing', 'integration test failure', 'disabled test', 'unittest failure', 'mock server', 'internal tests', 'skip test', 'testability', 'flaky tests', 'test bug', 'test configuration', 'ci system tests', 'profile integ tests', 'concurrent test', 'metrics test', 'spring mockito', 'test context']"
compiler,1145,compiler,1145,8459,"['compiler', 'build', 'compiler error', 'build system', 'compile error', 'tooling', 'core', 'codegen', 'rustc', 'build failure', 'std', 'rustdoc', 'compiler bug', 'compile time', 'compilation', 'compiler behavior', 'toolchain', 'cmake', 'compile', 'linker', 'tools', 'compiler internal', 'c++', 'code style', 'compiler warning', 'compilation error', 'framework', 'ide', 'cpp', 'build tools', 'build process', 'buildpack', 'build error', 'cross compilation', 'build issue', 'compiler lint', 'next dev', 'architecture', 'std library', 't compiler', 'devtools', 'compiler suggestion', 'compiler crash', 'shortcode', 'rust', 'code review', 'build tool', 'tool', 'compile time error', 'new architecture', 'c interop', 'compiler optimization', 'core dump', 'buildpacks', 'code', 'remote development', 'code quality', 'unused code', 'compiler errors', 'rustc error', 'build performance', 'compiling', 'snippets', 'ide features', 'dev server', 'x tools', 'assembly', 'static analysis', 'newarchitecture', 't rustdoc', 'compiler rt', 'rustfmt', 'dead code', 't build system', 'compilers', 'libc', 'cpp extension', 'build tooling', 'coding style', 'coprocessor', 'code smell', 'code editor', 'code optimization', 'developer experience', 'cross compile', 'assembler', 'build related', 'compiler feedback', 'framework integration', 'compiler frontend', 'rmake', 'compiler panic', 'extern c', 'libcore', 'compiler builtins', 'rustc bug', 'a compiler', 'incremental compilation', 'compiler issue', 'clang', 'shortcodes', 'build info', 'instruction handling', 'disassembly', 'disassembler', 'codebrowser', 'code clarity', 'devcontainer', 'ide feature', 'build issues', 'weak pointers', 'x/build', 'buildinfo', 'cmd/compile', 'deadcode', 'printf', 'ide integration', 'x/tools', 'libstd', 'compiler diagnostics', 'compiler intrinsic', 't compiler error', 'smart pointers', 'rust analyzer', 'a rustdoc ui', 'compiler warnings', 'compiler design', 'pointer arithmetic', 'compilation time', 'c compiler', 'fn pointer', 'example code', 'libtorch', 'compile time issue', 'compile time behavior', 'c api', 'snippet', 'dev services', 'compiler specific', 'gcc', 'stdlib', 'code analysis', 'tool installation', 'project management', 'language c', 'translate c', 'c code', 'codelens', 'codemod', 'dev experience', 'compiler internal error', 'libfuzzer', 'build id', 'glibc', 'buildmode', 'release build', 'dev settings', 'stdin', 'deno std', 'rustc book', 'compiler interaction', 'rust by example', 'internal compiler error', 'compiler regression', 'rustc llvm', 'rustup', 'unreachable code', 'c enhancement', 'rustc internal', 'compiler message', 'pointer aliasing', 'mingw', 'build script', 'miscompile', 'compiler feature', 'rustc internal error', 'runtime warning', 'sfinae', 'contributor experience', 'dynamic compilation', 'torch core', 'c++ api', 'clang tidy', 'cpp wrapper', 'compilererror', 'c implementation', 'core logic', 'dev mode', 'dev tools', 'java compiler', 'rust compiler', 'ide support', 'instruction set', 'code browser', 'c cpp', 'c language', 'readability', 'beta', 'codemirror', 'makefile', 'project setup', 'tool interaction', 'project structure', 'libuv', 'build isolation', 'function pointer', 'preprocessor', 'incremental build', 'linker error', 'std.progress', 'ctags', 'rust language', 'programming', 'compilation issue', 'jit compilation', 'rust lang', 'rustc compiler', 'software development', 'go stdlib', 'aspect oriented programming', 'reverse engineering', 'internalcompilererror', 'software', 'compiler flags', 'linker issue', 'core lib', 'core language', 'project configuration', 'tooling issue', 'cmd compile', 'domain: compiler', 'toolchain issue', 'language compiler', 'development tool', 'core library', 'rust std', 'build configuration', 'source code', 'make', 'bitcoin core', 'core functionalities', 'c extensions', 'php stdlib', 'development mode', 'local development', 'stdio', 'conditional compilation', 'rustcompiler', 'compiler issues', 'compiler bugs', 'domain compiler', 'compiler features', 'compiler implementation', 'object oriented programming', 'jit compiler', 'dynamic compiler', 'project maintenance', 'go c interop', 'go/stdlib', 'compiler optimizations', 'pointers', 'go ide', 'code inspection', 'instruction encoding', 'assembly language', 'compiler assertion', 'development tools', 'prototype', 'rust abi', 'compilation bug', 'compiler interpretation', 'compiler configuration', 'compile failure', 'rustc issue', 'rust stdlib', 'rustc warning', 'function pointers', 'pointer', 'domain language rust', 'compilation failure', 'linker problem', 'rust standard library', 'core libraries', 'rustc panic', 'compiler verification', 'code readability', 'std lib', 'domain: code quality', 'topic:build', 'category: compilation', 'c++ related', 'core development', 'production build', 'framework configuration', 'java stdlib', 'assembly disassembly', 'software engineering', 'disassembly issue', 'instruction decoding', 'software reverse engineering', 'low level programming', 'stdlib issue', 'package build', 'build problem', 'core functionality', 'software architecture', 'windows build', 'opcode', 'c standard', 'position independent code', 'developer tools', 'insider build', 'canary build', 'internal tool', 'gccgo', 'build mode', 't rustdoc frontend', 'rustc dev guide', 'pointer comparison', 'dead code elimination', 'build std', 'compiler diagnostic', 'code snippet', 'cpp backend', 'build tool configuration', 'build output', 'subprojects', 'code sample', 'reproducible builds', 'build time', 'core framework', 'project isolation', 'core engine', 'c bug', 'tool management', 'compile fail', 'function compilation', 'bytecode', 'production mode', 'smart pointer', 'run make', 'cpp compile error', 'cpp issue', 'build pack', 'enterprise to develocity', 'core function', 'br tool']"
user interface,274,ui,1340,3114,"['ui', 'layout', 'workspace', 'ux', 'user interface', 'workbench', 'navigation', 'user experience', 'design', 'preview', 'usability', 'menu', 'feedback', 'interface', 'window management', 'window', 'ui ux', 'panel', 'custom elements', 'slot', 'popup', 'activity bar', 'toolbar', 'window behavior', 'custom element', 'slots', 'ui enhancement', 'interactive', 'ui improvement', 'multi window', 'customization', 'ui feedback', 'client side navigation', 'ui/ux', 'workspaces', 'code improvement', 'preview window', 'sidebar', 'vmenu', 'snackbar', 'navigationdrawer', 'titlebar', 'ui design', 'image preview', 'context menu', 'workspace trust', 'codespaces', 'ui interaction', 'multi monitor', 'window layout', 'floating window', 'ui layout', 'floating windows', 'pane management', 'interaction', 'pane', 'hud', 'media queries', 'customizer', 'listing panel', 'ui feature', 'application layout', 'user feedback', 'workspace support', 'workspace management', 'dropdown', 'v dialog', 'ux improvement', 'namespace', 'ui customization', 'title bar', 'domain: user experience', 'action bar', 'ux feedback', 'help menu', 'ui appearance', 'user interfaces', 'layout issue', 'user interaction', 'gui improvement', 'drawer', 'dropdown menu', 'design proposal', 'popup menu', 'menubar', 'design discussion', 'layout animation', 'layout propagation', 'layout mismatch', 'multiple window support', 'ui preview', 'responsive design', 'window functions', 'design change', 'ui suggestion', 'ui look and feel', 'ui upgrade', 'ui request', 'ui change', 'multi root workspace', 'flexbox', 'layout problem', 'virtual workspace', 'workspace package', 'navigation drawer', 'v menu']"
web api,3,api,829,3165,"['api', 'http', 'mvc', 'httpclient', 'server', 'tomcat', 'web server', 'api change', 'webflux', 'webserver', 'http2', 'net/http', 'http client', 'api design', 'webclient', 'client', 'rpc', 'api proposal', 'ssh', 'rest api', 'fetch', 'webdav', 'api documentation', 'api clarity', 'api compatibility', 'rest template', 'jsp', 'servlet', 'websocket', 'api enhancement', 'middleware', 'client server', 'api breaking change', 'api reference', 'api deprecation', 'remote', 'api improvement', 'api behavior', 'api docs', 'websockets', 'request mapping', 'resttemplate', 'api error', 'api usage', 'api issue', 'api breaking', 'api consistency', 'webview', 'api incompatibility', 'remote ssh', 'client side', 'request body', 'webidl', 'api request', 'api missing', 'web api', 'api review', 'platform server', 'request handling', 'web client', 'rest client', 'api removal', 'web mvc', 'web framework', 'restclient', 'webhooks', 'code server', 'api update', 'web ui', 'serverless', 'server side', 'webassembly', 'serve', 'api doc', 'spring rest docs', 'spring restdocs', 'http status', 'service', 'web application', 'webservices', 'request binding', 'rest docs', 'http message converter', 'remote access', 'api testing', 'internal api', 'net http', 'n api', 'unstable api', 'api stability', 'api regression', 'api bug', 'services', 'webjars', 'web services', 'service connections', 'web testing', 'http status code', 'api upgrade', 'request parameter', 'response handling', 'request', 'nohttp', 'client request factory', 'spring websocket', 'api access', 'webhook', 'webauthn', 'web interface', 'api integration', 'http request', 'client api', 'web development', 'domain: api', 'api exposure', 'servlet container', 'domain: api design', 'server components', 'http protocol', 'net/http2', 'topic: api', 'web apis', 'category: api', 'topic: api change', 'fetch api', 'domain:rpc', 'microservices', 'deprecated api', 'embedded server', 'api keys', 'self hosted', 'remote desktop', 'web platform', 'api mismatch', 'native fetch', 'public api', 'api version', 'client connection', 'service connection', 'http status codes', 'api client', 'http connection', 'request response', 'api evolution', 'rpc server', 'api suggestion', 'api compliance', 'http server', 'api response', 'rest esql', 'http message conversion', 'api use', 'rest props', 'httpcore', 'webtestclient', 'servlet api', 'http method']"
performance optimization,25,performance,1955,3652,"['performance', 'runtime', 'cache', 'cpu', 'opcache', 'caching', 'hibernate', 'benchmark', 'resource loading', 'resource handling', 'performance regression', 'resource resolution', 'resource control', 'runtime performance', 'runtime/metrics', 'cpu features', 'benchmarks', 'resource', 'resources', 'startup performance', 'resource loader', 'resource group', 'build cache', 'module cache', 'target cpu', 'benchmarking', 'cpu fallback', 'resource management', 'processor', 'configuration cache', 'cpu usage', 'runtime hints', 'file cache', 'performance issue', 'performance optimization', 'cache management', 'domain: performance', 'performance improvement', 'slow performance', 'domain:performance', 'cpu architecture', 'cache issue', 'category performance', 'cpu performance', 'performance monitoring', 'web performance', 'cpu instruction', 'performance metrics', 'topic performance', 'cpu optimization', 'topic:performance', 'topic: caching', 'distributed cache', 'application runtime', 'runtime environment', 'opcode cache', 'cache control', 'edge runtime', 'cpu detection', 'whole cache mode', 'cpu feature detection', 'plan cache', 'resource usage', 'static resources', 'schema cache', 'performance issues', 'cache miss']"
domain:ci,9,ci,744,1710,"['ci', 'infrastructure', 'ci cd', 'ci test failure', 'dns', 'ci/cd', 'cds', 'ci failure', 'domain core', 'continuous integration', 'ci test', 'domain', 'cdp', 'ci improvement', 'domain/build', 'ci build', 'domain file', 'ci issue', 'domain:ci', 'domain:build', 'domain:java', 'domain: tooling', 'domain: python', 'domain: build', 'domain: nodejs', 'domain:ui', 'domain/crypto', 'domain:cli', 'domain: core', 'topic: ci', 'domain: ui', 'domain: security', 'domain stdlib', 'domain:security', 'domain: user interface', 'domain:editor', 'domain: crypto', 'domain/cryptography', 'domain/tools', 'domain: infrastructure', 'domain:infrastructure', 'domain: math', 'domain math', 'domain: ci', 'domain: java', 'domain:build tool', 'kerberos', 'domain: uv', 'domain php', 'domain:editing', 'domain:javascript', 'domain: editor', 'domain: terminal', 'domain: v8', 'domain: cryptography', 'domain: runtime', 'domain: cli', 'domain ml', 'domain: deep learning', 'domain machine learning', 'domain:network', 'domain: network', 'domain: build tool', 'category:ci', 'domain:authentication', 'domain: networking', 'ci pipeline', 'cd', 'ci update', 'ci integration', 'ci infrastructure']"
