Label,is_non_descriptive_label
for: external-project,
for: merge-with-amendments,True
for: planning,True
for: stackoverflow,
for: team-attention,True
for: team-meeting,True
status: back-port,True
status: blocked,True
status: declined,True
status: duplicate,True
status: feedback-provided,True
status: feedback-reminder,True
status: first-timers-only,True
status: forward-port,True
status: ideal-for-contribution,True
status: invalid,True
status: noteworthy,True
status: on-hold,True
status: pending-design-work,True
status: reserved-for-conference-event,True
status: superseded,True
status: team-only,True
status: waiting-for-feedback,True
status: waiting-for-internal-feedback,True
status: waiting-for-triage,True
theme: aot,
theme: config-data,
theme: containers,
theme: modularization,
theme: observability,
theme: opentelemetry,
theme: performance,
theme: ssl,
type: blocker,True
type: bug,
type: dependency-upgrade,
type: documentation,
type: enhancement,
type: epic,
type: regression,
type: task,
type: wiki-documentation,
