Label,Count
bug,3705
upgrade,1416
feature-request,1074
documentation,835
performance,414
ci-failure,408
test-failure,337
ui,299
forward-port,265
ice,262
improvement,260
security,258
configuration,256
optimization,231
integration-test,218
spring-boot,213
api,212
dependency,193
dynamo,192
enhancement,179
ci,172
windows,161
internal-error,153
logging,141
api-change,138
database,138
build-system,134
terminal,131
typescript,131
cuda,125
regression,123
backport,123
dependency-management,118
ui-bug,117
testing,115
build-issue,109
gopls,109
inductor,109
build,103
memory-leak,100
compiler,99
crash,98
compatibility,98
cli,95
docker,94
spring-framework,93
type-system,92
third-party,91
refactoring,88
test,86
debugging,85
micrometer,84
runtime,83
third-party-library,83
gradle,81
concurrency,79
flaky-test,79
maven-plugin,77
assertion-failure,74
editor,71
migration,71
deprecation,68
tracing,68
segfault,66
package-management,65
feature,65
rustc,65
accessibility,64
crypto,64
metrics,64
compilation,64
reactor,64
integration,62
runtime-error,61
rendering,60
javadoc,60
dependency-upgrade,60
suggestion,58
panic,58
build-failure,57
lint,57
async-await,56
tomcat,56
ui-issue,55
cache,55
chat,54
distributed,54
layout,53
ui-improvement,53
search,52
sql,52
dependency-resolution,50
backward-compatibility,50
formatting,49
kotlin,48
aot,48
spring-data,47
javascript,46
http-client,46
backward-compatible,46
metadata,45
jetty,45
telemetry,44
trait,44
spel,44
python,43
proposal,43
optimizer,43
warning,42
doc,42
typo,42
installation,42
android,42
error-message,42
http,42
codegen,42
ios,42
error-handling,41
validation,41
integer-overflow,41
const-eval,41
error,40
syntax,40
caching,40
mps,40
ui-issues,39
user-experience,39
parser,39
cpu,39
segmentation-fault,39
onnx,39
esql,39
r2dbc,38
pulsar,38
java-version,38
config,37
dependency-update,37
maintenance,37
auto-configuration,37
filesystem,36
monitoring,36
serialization,36
jit,36
netty,36
spring-security,36
completion,35
macos,35
json,35
user-interface,34
navigation,34
markdown,34
code-quality,34
triton,34
spring-integration,34
extension,33
timeout,33
core,33
ssl,33
assertion-error,33
exception-handling,33
race-condition,32
alignment,32
cross-platform,32
import,32
analysis,32
neo4j,32
maven,32
native-image,32
dom,31
llvm,31
plugin,31
reactive,31
webflux,31
spring-mvc,31
reproducible,30
scrolling,30
frontend,30
cgo,30
os,30
data-race,30
bootstrap,30
diagnostics,30
binding,30
pattern-matching,30
autograd,30
spring-kafka,30
installation-issue,29
css,29
gc,29
syntax-error,29
inference,29
lang-item,29
infinispan,29
spring-pulsar,29
graphql,29
hibernate,28
vim9script,28
linux,27
types,27
language,27
gui,27
spring-amqp,27
opcache,27
ui-enhancement,26
sync,26
profiling,26
highlighting,26
turbopack,26
http2,26
tests,26
export,26
abi,26
testcontainers,26
assembly,25
memory-management,25
parsing,25
closure,25
byte-buddy,25
postgresql,25
java,25
zend-engine,25
authentication,24
wasm,24
performance-issue,24
network,24
compiler-error,24
net,24
linker,24
cross-compilation,24
type-inference,24
dependencies,24
macro-expansion,24
svelte5,24
template,23
i18n,23
mobile,23
svelte,23
unsafe-code,23
borrow-check,23
clippy,23
const-generics,23
spring-session,23
spring-authorization-server,23
jdbc,23
mockito,23
index-management,23
index,23
information-schema,23
proxy,22
architecture,22
routing,22
broken-link,22
fuzzing,22
automation,22
rustdoc,22
complex-numbers,22
github-actions,22
query-execution,22
cleanup,21
ubuntu,21
porting,21
compiler-crash,21
unsoundness,21
cpp,21
distributed-training,21
spring-hateoas,21
extension-management,20
ux,20
environment-variable,20
npm,20
unicode,20
semantics,20
type-checking,20
mir,20
macro,20
tensor-operation,20
rocm,20
fsdp,20
third-party-dependency,20
bom,20
spring,20
undertow,20
aspectj,20
rest-client,20
workspace,19
auth,19
api-reference,19
nextjs,19
tls,19
integration-test-failure,19
reflection,19
integration-testing,19
threading,19
backend,19
tensor,19
quantization,19
jms,19
vimscript,19
datetime,18
tooling,18
encoding,18
coverage,18
async,18
networking,18
performance-regression,18
driver,18
documentation-issue,18
dtensor,18
release,18
spring-retry,18
elasticsearch,18
spring-ldap,18
actuator,18
mysql,18
gradle-plugin,18
aggregation,18
expression-language,18
virtual-environment,18
vuetify,18
gpu-rendering,17
editor-behavior,17
input,17
resolution,17
doc-bug,17
enum,17
observability,17
opentelemetry,17
x-pack,17
esql-plugin,17
statistics,17
ddl,17
hover,16
keyboard-shortcut,16
ui-suggestion,16
git,16
syntax-highlighting,16
issue,16
api-suggestion,16
environment,16
indexing,16
breaking-change,16
mongodb,16
versioning,16
stability,16
traits,16
junit,16
integration-tests,16
virtual-threads,16
spring-web,16
spring-webflux,16
transaction,16
spring-beans,16
pip,16
ui-behavior,15
debugger,15
notebook,15
api-compatibility,15
api-issue,15
import-issue,15
permissions,15
ssh,15
deprecated,15
linting,15
command-line,15
app-router,15
type-error,15
syscall,15
golang,15
deadlock,15
ast,15
iterator,15
html,15
shutdown,15
hydration,15
dynamic-shape,15
torch.compile,15
amp,15
reactivity,15
rabbitmq,15
aop,15
tidb,15
styling,14
removal,14
animation,14
network-issue,14
gpu,14
repl,14
tracking,14
comparison,14
asan,14
sanitizer,14
workflow,14
stack-overflow,14
resolver,14
recursion,14
linking,14
deno,14
lockfile,14
unsized-types,14
attention-mechanism,14
filter,14
verification,14
exception,14
kafka,14
classloading,14
condition,14
spring-bean,14
jpa,14
netrw,14
copilot,13
api-design,13
path-resolution,13
consistency,13
compilation-error,13
ssa,13
gdb,13
inlining,13
type-check,13
scheduler,13
initialization,13
regex,13
cmake,13
stream,13
lock-file,13
coherence,13
conversion,13
pytorch,13
python-compatibility,13
dtype,13
logback,13
database-migration,13
json-processing,13
spring-graphql,13
sync-issue,13
partitioning,13
upstream,12
rust,12
design,12
ui-component,12
file-system,12
ssr,12
benchmark,12
ci-issue,12
coroutine,12
toolchain,12
infinite-loop,12
image-processing,12
new-architecture,12
stabilization,12
floating-point,12
trait-object,12
recompilation,12
change-detection,12
memory-access,12
core-dump,12
selenium,12
ci-update,12
spring-batch,12
jetty-reactive,12
multi-cluster,12
date-parsing,12
php-core,12
backup-restore,12
focus,11
powershell,11
event-listener,11
language-features,11
internationalization,11
nodejs,11
debug,11
indentation,11
translation,11
test-suite,11
hang,11
assertion,11
compression,11
module-resolution,11
websocket,11
generics,11
math,11
godebug,11
xml,11
unix,11
synchronization,11
elf,11
signal,11
null-pointer-exception,11
buffer-overflow,11
webgpu,11
trait-bounds,11
-ice-,11
dynamic-shapes,11
nccl,11
upgrade-issue,11
build-tool,11
yaml,11
redis,11
log4j2,11
couchbase,11
jackson,11
release-candidate,11
conventions,11
jooq,11
container,11
security-plugin,11
spring-core,11
vim9,11
language-server,10
event-handling,10
snapshot,10
buffer-management,10
json-parsing,10
devtools,10
generic-types,10
stdlib,10
tools,10
server,10
const,10
thread-safety,10
go-version,10
spec,10
vulnerability,10
clarification,10
encryption,10
workspaces,10
code-generation,10
webdav,10
oom,10
path-issue,10
security-vulnerability,10
sveltekit,10
ffi,10
lang-server,10
diagnostic,10
const-evaluation,10
lifetime,10
httpclient,10
template-syntax,10
control-flow,10
xpu,10
memory-usage,10
backpropagation,10
bfloat16,10
compilation-issue,10
docker-compose,10
log,10
java-driver,10
class-loading,10
framework,10
java-ee,10
jvm,10
xpack,10
sql-function,10
bean-override,10
precompilation,10
php-src,10
settings,9
locale,9
api-bug,9
shell-integration,9
esm,9
session-management,9
style,9
behavior,9
lsp,9
rpc,9
pagination,9
tailwindcss,9
code-action,9
vet,9
infrastructure,9
memory-safety,9
scheduling,9
doc-issue,9
struct,9
import-resolution,9
coroutines,9
vite,9
test-framework,9
mir-opt,9
gui-issue,9
component,9
api-documentation,9
template-engine,9
sorting,9
checkpoint,9
custom-ops,9
homebrew,9
content-management,9
ldap,9
properties,9
eclipse,9
sdkman,9
graalvm,9
upgrades,9
mockmvc,9
webclient,9
rest-template,9
rolling-upgrade,9
data-streams,9
cloud-storage,9
spl,9
backup,9
ttl,9
tiflash,9
sql-error,9
console,8
paste,8
release-notes,8
editor-rendering,8
tree-view,8
task,8
state-management,8
eslint,8
profile,8
clipboard,8
language-feature,8
insiders,8
editor-integration,8
preview,8
process-management,8
next-dev,8
unreachable-code,8
module,8
quic,8
randomness,8
simplification,8
grpc,8
symbol-resolution,8
allocation,8
redirect,8
pprof,8
standard-library,8
doc-improvement,8
interface,8
graph,8
linker-error,8
spec-compliance,8
io,8
pointer-arithmetic,8
utf8,8
debug-info,8
language-design,8
link-issue,8
release-management,8
msvc,8
environment-variables,8
nodejs-compatibility,8
svg,8
sse,8
miri,8
lifetime-issue,8
drop,8
generator,8
panicking,8
unstable-feature,8
null-pointer,8
undefined-behavior,8
lifecycle,8
fx,8
unittest,8
functionality,8
mapping,8
shortcodes,8
oracle,8
lombok,8
activemq,8
autowiring,8
transaction-management,8
async-test,8
data-mismatch,8
join,8
function,8
executor,8
decompilation-issue,8
pdo,8
null-pointer-dereference,8
sql-execution,8
foreign-key,8
vim-script,8
suggest,7
remote-development,7
download-issue,7
comments,7
menu,7
ui-rendering,7
usability,7
smoke-test,7
image,7
api-behavior,7
command-palette,7
html-rendering,7
keyboard-navigation,7
wsl,7
streaming,7
worker,7
experimental-feature,7
customization,7
middleware,7
sass,7
cache-issue,7
browser-compatibility,7
defer,7
api-evolution,7
panics,7
index-out-of-bounds,7
trace,7
conflict,7
cmd,7
example,7
inconsistency,7
install,7
unsafe,7
path,7
default-behavior,7
arm,7
method-resolution,7
compiler-issue,7
timers,7
string-processing,7
behavior-change,7
dead-code,7
formatter,7
deno-core,7
registry,7
cargo,7
target-feature,7
lifetimes,7
associated-types,7
associated-type,7
trait-implementation,7
warnings,7
custom-elements,7
memory-issues,7
autocast,7
aten,7
symbolic-computation,7
wheel,7
tensor-parallelism,7
functionalization,7
storage,7
changelog,7
htmlunit,7
timestamp,7
jdk,7
prometheus,7
jersey,7
npe,7
language-groovy,7
hazelcast,7
bean-definition,7
assertj,7
spring-ws,7
s3-repository,7
date-format,7
reactor-netty,7
autocomplete,7
python-interpreter,7
python-version,7
bcmath,7
session,7
comptime,7
cte,7
fuzzy,7
confusion,6
explorer,6
markdown-rendering,6
reproducible-issue,6
leak,6
test-coverage,6
breakpoint,6
api-mismatch,6
command,6
ui-look-and-feel,6
web,6
theme,6
a11y,6
test-runner,6
window-management,6
workspace-management,6
action,6
code-analysis,6
conflict-resolution,6
overlay,6
code-formatting,6
renaming,6
fetch,6
webpack,6
output,6
postcss,6
router,6
code-improvement,6
constraint,6
variadic-functions,6
misleading,6
race-detector,6
builtin,6
code-review,6
website,6
outdated,6
slices,6
symlink,6
string,6
compiler-panic,6
dns,6
time-zone,6
false-positive,6
instruction-set,6
error-reporting,6
archive,6
compiler-bug,6
library,6
functional,6
community,6
transform,6
concurrency-issue,6
collaborator-nomination,6
revert,6
pipeline,6
semver,6
url-parsing,6
unstable-api,6
region-inference,6
attribute,6
overflow,6
miscompilation,6
simd,6
submodule,6
borrow-checker,6
union,6
scope,6
gcc,6
type-mismatch,6
css-selector,6
template-rendering,6
graph-break,6
convolution,6
async-execution,6
custom-op,6
