Label,is_non_descriptive_label
for: backport-to-6.2.x,
for: external-project,
for: merge-with-amendments,
for: stackoverflow,
has: votes-jira,
in: core,
in: data,
in: messaging,
in: test,
in: web,
status: backported,True
status: blocked,True
status: bulk-closed,True
status: declined,True
status: duplicate,True
status: feedback-provided,True
status: feedback-reminder,True
status: ideal-for-contribution,True
status: invalid,True
status: on-hold,True
status: pending-design-work,True
status: superseded,True
status: waiting-for-feedback,True
status: waiting-for-internal-feedback,True
status: waiting-for-triage,True
theme: aot,
theme: kotlin,
type: backport,
type: bug,
type: dependency-upgrade,
type: documentation,
type: enhancement,
type: regression,
type: task,
type: wiki-documentation,
