representative_label_by_embedding,count,representative_label_by_count,count,total_count,cluster
bug,14650,bug,14650,15300,"['bug', 'compiler bug', 'type bug', 'bugs', 'rustc bug', 'type: bug', 'visual bug', 'bug fix', 'parser bug', 'documentation bug', 'bug report', 'language bug', 'compiler bugs', 'feature bug', 'compilation bug', 'type system bug', 'bug introduction', 'type checking bug', 'bug fix request', 'bug fix version upgrade', 'decompiler bug', 'ghidra bug', 'minor bug', 'extension bug', 'production bug', 'functional bug', 'test bug']"
enhancement,1655,enhancement,1655,1757,"['enhancement', 'type: enhancement']"
documentation,2591,documentation,2591,2620,"['documentation', 'type: documentation', 'domain: documentation', 'category: documentation']"
update,31,dependency update,562,608,"['dependency update', 'update', 'language update', 'extension update', 'content update', 'copyright update', 'dependencies update']"
test,546,test failure,1026,2301,"['test failure', 'test', 'integration test', 'test framework', 'spring test', 'test runner', 'integration tests', 'test failures', 'test infrastructure', 'test suite', 'tests', 'pytorch test', 'test explorer', 'test improvement', 'test missing', 'test related', 'compile test', 'test enhancement', 'system tests', 'test results', 'test coverage', 'runtime test', 'test case', 'test execution', 'test strategy', 'test integration', 'test annotation', 'test flakiness', 'test porting', 'test logic', 'functional test', 'build test', 'functional tests', 'test environment', 'system test', 'integ test', 'integration test failure', 'test update', 'aggregation test', 'disabled test', 'script test', 'internal tests', 'skip test', 'test timeout', 'regression test', 'test order', 'test configuration', 'profile integ tests', 'concurrent test', 'aggregation tests', 'percentile test', 'metrics test', 'test context']"
compiler,1145,compiler,1145,1349,"['compiler', 'compiler behavior', 'compiler internal', 'compiler warning', 'compiler suggestion', 'compiler optimization', 'compilers', 'compiler feedback', 'compiler builtins', 'compiler diagnostics', 'compiler intrinsic', 'compiler warnings', 'compiler design', 'pytorch compiler', 'compiler specific', 'compiler compatibility', 'compiler interaction', 'compiler regression', 'compiler message', 'compiler feature', 'domain: compiler', 'language compiler', 'compiler features', 'compiler implementation', 'dynamic compiler', 'compiler optimizations', 'compiler assertion', 'compiler interpretation', 'compiler configuration', 'compiler verification', 'compiler diagnostic', 'template compiler']"
feature request,2225,feature request,2225,2316,"['feature request', 'pytorch feature request', 'request parameter', 'request', 'support request', 'type: feature request', 'type:feature request', 'category:feature request', 'category feature request', 'feature requests', 'request response', 'documentation request']"
ui,1340,ui,1340,1901,"['ui', 'ui bug', 'ui issue', 'ui enhancement', 'ui improvement', 'vscode ui', 'web ui', 'ui feedback', 'ui tests', 'a rustdoc ui', 'terminal ui', 'ui design', 'ui interaction', 'ui text', 'ui layout', 'ui rendering', 'ui component', 'ui feature', 'ui components', 'ui behavior', 'domain: ui', 'ui customization', 'ui appearance', 'editor ui', 'ui thread', 'ui test', 'ui automation', 'ui preview', 'ui issues', 'ui suggestion', 'ui look and feel', 'ui upgrade', 'ui request', 'ui change', 'ui a11y', 'ui glitch', 'ui bugs']"
build,895,build,895,1709,"['build', 'build system', 'build failure', 'build process', 'build issue', 'build performance', 'build related', 'build issues', 'release build', 'build script', 'build backend', 'build isolation', 'incremental build', 'domain: build', 'build configuration', 'production build', 'package build', 'build problem', 'windows build', 'build output']"
error,270,compiler error,493,2448,"['compiler error', 'runtime error', 'error', 'compile error', 'type error', 'error message', 'error handling', 'compilation error', 'build error', 'assertion error', 'internal error', 'compile time error', 'compiler errors', 'error reporting', 'parse error', 'syntax error', 'runtime errors', 'server error', 'parsing error', 'upload error', 'fatal error', 'compiler internal error', 'internal compiler error', 'error page', 'validation error', 'attribute error', 'parser error', 'script error', 'logic error', 'function error', 'region error', 'error report', 'javascript error', 'unexpected error', 'internal server error', 'error messages', 'evaluation error', 'type: error message', 'allocation error', 'logical error', 'linking error', 'programming error', 'database error', 'recursive error', 'recursion error', 'memory error', 'network error', 'bounds error', 'error suggestion', 'content error', 'filesystem error', 'ubsan error', 'sanitizer error']"
api,829,api,829,1628,"['api', 'api change', 'extension api', 'api design', 'pytorch api', 'api proposal', 'python api', 'rest api', 'node api', 'api documentation', 'api clarity', 'api compatibility', 'api enhancement', 'api breaking change', 'api reference', 'api deprecation', 'api improvement', 'api behavior', 'api docs', 'api error', 'api usage', 'api issue', 'api breaking', 'type api', 'api consistency', 'api incompatibility', 'api request', 'api missing', 'api review', 'torch api', 'api removal', 'api update', 'next.js api', 'next api', 'api doc', 'area api', 'type api change', 'api testing', 'internal api', 'unstable api', 'api stability', 'api regression', 'functional api', 'c++ api', 'api bug', 'tensor api', 'github api', 'api upgrade', 'java api', 'api access', 'api integration', 'observer api', 'client api', 'domain: api', 'vscode api', 'api exposure', 'labels: api', 'elasticsearch api', 'domain: api design', 'topic: api', 'category: api', 'topic: api change', 'fetch api', 'type: api change', 'deprecated api', 'api keys', 'api mismatch', 'public api', 'api version', 'api client', 'api evolution', 'api suggestion', 'api compliance', 'api response', 'search api', 'console api', 'api use', 'scroll api', 'servlet api']"
performance,1955,performance,1955,1965,"['performance', 'domain: performance']"
