Label,num_projects,projects
good first issue,19,"['astral-sh_uv', 'vuetifyjs_vuetify', 'angular_angular', 'FuelLabs_sway', 'tailwindlabs_tailwindcss', 'pingcap_tidb', 'pytorch_pytorch', 'microsoft_terminal', 'nodejs_node', 'bitcoin_bitcoin', 'sveltejs_svelte', 'vercel_next.js', 'elastic_elasticsearch', 'denoland_deno', 'laurent22_joplin', 'JuliaLang_julia', 'AlistGo_alist', 'microsoft_vscode', 'go-gitea_gitea']"
help wanted,13,"['astral-sh_uv', 'vuetifyjs_vuetify', 'angular_angular', 'golang_go', 'vim_vim', 'pingcap_tidb', 'nodejs_node', 'sveltejs_svelte', 'elastic_elasticsearch', 'denoland_deno', 'JuliaLang_julia', 'AlistGo_alist', 'microsoft_vscode']"
duplicate,8,"['astral-sh_uv', 'vuetifyjs_vuetify', 'junegunn_fzf', 'vim_vim', 'pingcap_tidb', 'denoland_deno', 'JuliaLang_julia', 'AlistGo_alist']"
wontfix,8,"['astral-sh_uv', 'vuetifyjs_vuetify', 'junegunn_fzf', 'vim_vim', 'pingcap_tidb', 'nodejs_node', 'sveltejs_svelte', 'AlistGo_alist']"
invalid,8,"['vuetifyjs_vuetify', 'junegunn_fzf', 'golang_go', 'vim_vim', 'denoland_deno', 'JuliaLang_julia', 'AlistGo_alist', 'microsoft_vscode']"
hacktoberfest-accepted,5,"['vim_vim', 'facebook_react-native', 'microsoft_terminal', 'vercel_next.js', 'microsoft_vscode']"
hacktoberfest,4,"['pingcap_tidb', 'pytorch_pytorch', 'microsoft_vscode', 'go-gitea_gitea']"
Stale,3,"['php_php-src', 'facebook_react-native', 'gohugoio_hugo']"
needs reproduction,3,"['angular_angular', 'tailwindlabs_tailwindcss', 'pytorch_pytorch']"
discuss,3,"['vim_vim', 'nodejs_node', 'elastic_elasticsearch']"
high priority,3,"['pytorch_pytorch', 'denoland_deno', 'AlistGo_alist']"
has workaround,2,"['vuetifyjs_vuetify', 'pytorch_pytorch']"
P: critical,2,"['vuetifyjs_vuetify', 'FuelLabs_sway']"
P: high,2,"['vuetifyjs_vuetify', 'FuelLabs_sway']"
P: low,2,"['vuetifyjs_vuetify', 'FuelLabs_sway']"
outdated,2,"['junegunn_fzf', 'denoland_deno']"
needs triage,2,"['angular_angular', 'denoland_deno']"
NeedsInvestigation,2,"['golang_go', 'gohugoio_hugo']"
v2,2,"['golang_go', 'tailwindlabs_tailwindcss']"
accepted,2,"['ziglang_zig', 'AlistGo_alist']"
status: blocked,2,"['spring-projects_spring-framework', 'spring-projects_spring-boot']"
status: declined,2,"['spring-projects_spring-framework', 'spring-projects_spring-boot']"
status: duplicate,2,"['spring-projects_spring-framework', 'spring-projects_spring-boot']"
status: feedback-provided,2,"['spring-projects_spring-framework', 'spring-projects_spring-boot']"
status: feedback-reminder,2,"['spring-projects_spring-framework', 'spring-projects_spring-boot']"
status: ideal-for-contribution,2,"['spring-projects_spring-framework', 'spring-projects_spring-boot']"
status: invalid,2,"['spring-projects_spring-framework', 'spring-projects_spring-boot']"
status: on-hold,2,"['spring-projects_spring-framework', 'spring-projects_spring-boot']"
status: pending-design-work,2,"['spring-projects_spring-framework', 'spring-projects_spring-boot']"
status: superseded,2,"['spring-projects_spring-framework', 'spring-projects_spring-boot']"
status: waiting-for-feedback,2,"['spring-projects_spring-framework', 'spring-projects_spring-boot']"
status: waiting-for-internal-feedback,2,"['spring-projects_spring-framework', 'spring-projects_spring-boot']"
status: waiting-for-triage,2,"['spring-projects_spring-framework', 'spring-projects_spring-boot']"
Merged,2,"['facebook_react-native', 'pytorch_pytorch']"
size/L,2,"['pingcap_tidb', 'AlistGo_alist']"
size/M,2,"['pingcap_tidb', 'AlistGo_alist']"
size/S,2,"['pingcap_tidb', 'AlistGo_alist']"
size/XL,2,"['pingcap_tidb', 'AlistGo_alist']"
size/XS,2,"['pingcap_tidb', 'AlistGo_alist']"
size/XXL,2,"['pingcap_tidb', 'AlistGo_alist']"
hackathon,2,"['pytorch_pytorch', 'microsoft_vscode']"
low priority,2,"['pytorch_pytorch', 'AlistGo_alist']"
triaged,2,"['pytorch_pytorch', 'elastic_elasticsearch']"
blocked,2,"['nodejs_node', 'microsoft_vscode']"
needs more info,2,"['nodejs_node', 'JuliaLang_julia']"
needs discussion,2,"['sveltejs_svelte', 'denoland_deno']"
v6.5.5,2,"['elastic_elasticsearch', 'elastic_elasticsearch']"
do-not-merge,1,['astral-sh_uv']
great writeup,1,['astral-sh_uv']
needs-decision,1,['astral-sh_uv']
needs-design,1,['astral-sh_uv']
needs-mre,1,['astral-sh_uv']
HACKTOBERFEST-ACCEPTED,1,['vuetifyjs_vuetify']
missing information,1,['vuetifyjs_vuetify']
P: elite sponsor,1,['vuetifyjs_vuetify']
P: sponsor,1,['vuetifyjs_vuetify']
pending review,1,['vuetifyjs_vuetify']
pending team review,1,['vuetifyjs_vuetify']
PR: don't squash,1,['vuetifyjs_vuetify']
S: bulk closed,1,['vuetifyjs_vuetify']
S: has merge conflicts,1,['vuetifyjs_vuetify']
S: maybe,1,['vuetifyjs_vuetify']
S: needs docs update,1,['vuetifyjs_vuetify']
S: needs more information,1,['vuetifyjs_vuetify']
S: needs reproduction,1,['vuetifyjs_vuetify']
S: needs unit tests,1,['vuetifyjs_vuetify']
S: on hold,1,['vuetifyjs_vuetify']
S: stale,1,['vuetifyjs_vuetify']
S: triage,1,['vuetifyjs_vuetify']
S: work in progress,1,['vuetifyjs_vuetify']
semver: major,1,['vuetifyjs_vuetify']
semver: minor,1,['vuetifyjs_vuetify']
Vuetify 2,1,['vuetifyjs_vuetify']
Vuetify 3 - Phase 1,1,['vuetifyjs_vuetify']
Vuetify 3 - Phase 2,1,['vuetifyjs_vuetify']
Vuetify 3 - Phase 3,1,['vuetifyjs_vuetify']
Vuetify 3 - Phase 4,1,['vuetifyjs_vuetify']
working as intended,1,['vuetifyjs_vuetify']
discussion,1,['junegunn_fzf']
help-needed,1,['junegunn_fzf']
invalid: missing template,1,['junegunn_fzf']
no-response,1,['junegunn_fzf']
not-reproducible,1,['junegunn_fzf']
pending,1,['junegunn_fzf']
Proof of Concept,1,['php_php-src']
Quickfix,1,['php_php-src']
Status: Cannot Reproduce,1,['php_php-src']
Status: Duplicate,1,['php_php-src']
Status: Fixed in Third Party Library,1,['php_php-src']
Status: Invalid,1,['php_php-src']
Status: Needs Feedback,1,['php_php-src']
Status: Needs Tests,1,['php_php-src']
Status: Needs Triage,1,['php_php-src']
Status: Requires RFC,1,['php_php-src']
Status: Spam,1,['php_php-src']
Status: Verified,1,['php_php-src']
Status: Waiting for Third Party Library Fix,1,['php_php-src']
Status: Won't Fix,1,['php_php-src']
Waiting on Author,1,['php_php-src']
Waiting on Review,1,['php_php-src']
Waiting on RM,1,['php_php-src']
action: cleanup,1,['angular_angular']
action: discuss,1,['angular_angular']
action: global presubmit,1,['angular_angular']
action: merge,1,['angular_angular']
action: presubmit,1,['angular_angular']
action: review,1,['angular_angular']
adev: preview,1,['angular_angular']
design complexity: low-hanging,1,['angular_angular']
design complexity: major,1,['angular_angular']
effort1: hours,1,['angular_angular']
effort2: days,1,['angular_angular']
effort3: weeks,1,['angular_angular']
feature: in backlog,1,['angular_angular']
feature: insufficient votes,1,['angular_angular']
feature: under consideration,1,['angular_angular']
feature: votes required,1,['angular_angular']
freq1: low,1,['angular_angular']
freq2: medium,1,['angular_angular']
freq3: high,1,['angular_angular']
freq4: critical,1,['angular_angular']
needs: clarification,1,['angular_angular']
needs: discussion,1,['angular_angular']
needs: verification,1,['angular_angular']
P0,1,['angular_angular']
P1,1,['angular_angular']
P2,1,['angular_angular']
P3,1,['angular_angular']
P4,1,['angular_angular']
P5,1,['angular_angular']
PullApprove: disable,1,['angular_angular']
requires: TGP,1,['angular_angular']
risk: high,1,['angular_angular']
risk: low,1,['angular_angular']
risk: medium,1,['angular_angular']
risky,1,['angular_angular']
state: blocked,1,['angular_angular']
state: blocked on G3 cleanup,1,['angular_angular']
state: blocked on upstream,1,['angular_angular']
state: community,1,['angular_angular']
state: confirmed,1,['angular_angular']
state: has PR,1,['angular_angular']
state: in investigation,1,['angular_angular']
state: Needs Design,1,['angular_angular']
state: needs devrel input,1,['angular_angular']
state: needs doc team review,1,['angular_angular']
state: needs eng input,1,['angular_angular']
state: needs eng review,1,['angular_angular']
state: needs more investigation,1,['angular_angular']
state: WIP,1,['angular_angular']
workaround1: obvious,1,['angular_angular']
workaround2: non-obvious,1,['angular_angular']
workaround3: complex,1,['angular_angular']
workaround4: none,1,['angular_angular']
do not close,1,['FuelLabs_sway']
may be rewarded,1,['FuelLabs_sway']
P: medium,1,['FuelLabs_sway']
waiting on rust feature,1,['FuelLabs_sway']
CherryPickApproved,1,['golang_go']
CherryPickCandidate,1,['golang_go']
cla: no,1,['golang_go']
cla: yes,1,['golang_go']
Critical,1,['golang_go']
dotdotdot,1,['golang_go']
early-in-cycle,1,['golang_go']
FixPending,1,['golang_go']
FrozenDueToAge,1,['golang_go']
NeedsDecision,1,['golang_go']
NeedsFix,1,['golang_go']
okay-after-beta1,1,['golang_go']
okay-after-rc1,1,['golang_go']
Proposal-Accepted,1,['golang_go']
Proposal-FinalCommentPeriod,1,['golang_go']
Proposal-Hold,1,['golang_go']
release-blocker,1,['golang_go']
Soon,1,['golang_go']
Telemetry-Accepted,1,['golang_go']
Telemetry-Declined,1,['golang_go']
Unfortunate,1,['golang_go']
WaitingForInfo,1,['golang_go']
WorkingAsIntended,1,['golang_go']
contributor friendly,1,['ziglang_zig']
debug-info,1,['ziglang_zig']
work in progress,1,['ziglang_zig']
A-edition-2015,1,['rust-lang_rust']
A-edition-2018,1,['rust-lang_rust']
A-edition-2021,1,['rust-lang_rust']
A-edition-2024,1,['rust-lang_rust']
A-edition-2027,1,['rust-lang_rust']
april-1st,1,['rust-lang_rust']
AsyncAwait-Polish,1,['rust-lang_rust']
AsyncAwait-Triaged,1,['rust-lang_rust']
B-MCP-approved,1,['rust-lang_rust']
B-RFC-approved,1,['rust-lang_rust']
B-RFC-implemented,1,['rust-lang_rust']
B-unstable,1,['rust-lang_rust']
beta-accepted,1,['rust-lang_rust']
beta-nominated,1,['rust-lang_rust']
C-feature-accepted,1,['rust-lang_rust']
call-for-testing,1,['rust-lang_rust']
D-invalid-suggestion,1,['rust-lang_rust']
D-lack-of-suggestion,1,['rust-lang_rust']
D-newcomer-roadblock,1,['rust-lang_rust']
E-easy,1,['rust-lang_rust']
E-hard,1,['rust-lang_rust']
E-help-wanted,1,['rust-lang_rust']
E-medium,1,['rust-lang_rust']
E-mentor,1,['rust-lang_rust']
E-needs-bisection,1,['rust-lang_rust']
E-needs-design,1,['rust-lang_rust']
E-needs-investigation,1,['rust-lang_rust']
E-needs-mcve,1,['rust-lang_rust']
E-needs-test,1,['rust-lang_rust']
E-tedious,1,['rust-lang_rust']
has-merge-commits,1,['rust-lang_rust']
I-edition-nominated,1,['rust-lang_rust']
I-edition-triaged,1,['rust-lang_rust']
I-needs-decision,1,['rust-lang_rust']
I-prioritize,1,['rust-lang_rust']
I-release-nominated,1,['rust-lang_rust']
llvm-fixed-upstream,1,['rust-lang_rust']
merged-by-bors,1,['rust-lang_rust']
needs-acp,1,['rust-lang_rust']
needs-crater,1,['rust-lang_rust']
needs-fcp,1,['rust-lang_rust']
needs-mcp,1,['rust-lang_rust']
needs-rfc,1,['rust-lang_rust']
needs-triage,1,['rust-lang_rust']
NLL-complete,1,['rust-lang_rust']
P-critical,1,['rust-lang_rust']
P-high,1,['rust-lang_rust']
P-lang-drag-0,1,['rust-lang_rust']
P-lang-drag-1,1,['rust-lang_rust']
P-lang-drag-2,1,['rust-lang_rust']
P-lang-drag-3,1,['rust-lang_rust']
P-lang-drag-4,1,['rust-lang_rust']
P-low,1,['rust-lang_rust']
P-medium,1,['rust-lang_rust']
perf-regression-triaged,1,['rust-lang_rust']
regression-untriaged,1,['rust-lang_rust']
S-blocked,1,['rust-lang_rust']
S-bug-has-test,1,['rust-lang_rust']
S-experimental,1,['rust-lang_rust']
S-has-bisection,1,['rust-lang_rust']
S-has-mcve,1,['rust-lang_rust']
S-inactive,1,['rust-lang_rust']
S-needs-info,1,['rust-lang_rust']
S-needs-repro,1,['rust-lang_rust']
S-no-work-capacity-tracking,1,['rust-lang_rust']
S-tracking-at-risk,1,['rust-lang_rust']
S-tracking-blocked,1,['rust-lang_rust']
S-tracking-design-concerns,1,['rust-lang_rust']
S-tracking-forever,1,['rust-lang_rust']
S-tracking-impl-incomplete,1,['rust-lang_rust']
S-tracking-needs-deep-research,1,['rust-lang_rust']
S-tracking-needs-design-proposal,1,['rust-lang_rust']
S-tracking-needs-documentation,1,['rust-lang_rust']
S-tracking-needs-migration-lint,1,['rust-lang_rust']
S-tracking-needs-summary,1,['rust-lang_rust']
S-tracking-needs-to-bake,1,['rust-lang_rust']
S-tracking-perma-unstable,1,['rust-lang_rust']
S-tracking-ready-for-edition,1,['rust-lang_rust']
S-tracking-ready-to-stabilize,1,['rust-lang_rust']
S-tracking-remove-implementation,1,['rust-lang_rust']
S-tracking-unimplemented,1,['rust-lang_rust']
S-triggers-future-incompat-lint,1,['rust-lang_rust']
S-types-deferred,1,['rust-lang_rust']
S-types-tracked,1,['rust-lang_rust']
S-waiting-on-ACP,1,['rust-lang_rust']
S-waiting-on-author,1,['rust-lang_rust']
S-waiting-on-bikeshed,1,['rust-lang_rust']
S-waiting-on-bors,1,['rust-lang_rust']
S-waiting-on-concerns,1,['rust-lang_rust']
S-waiting-on-crater,1,['rust-lang_rust']
S-waiting-on-documentation,1,['rust-lang_rust']
S-waiting-on-fcp,1,['rust-lang_rust']
S-waiting-on-LLVM,1,['rust-lang_rust']
S-waiting-on-MCP,1,['rust-lang_rust']
S-waiting-on-perf,1,['rust-lang_rust']
S-waiting-on-review,1,['rust-lang_rust']
S-waiting-on-t-bootstrap,1,['rust-lang_rust']
S-waiting-on-t-clippy,1,['rust-lang_rust']
S-waiting-on-t-compiler,1,['rust-lang_rust']
S-waiting-on-t-fls,1,['rust-lang_rust']
S-waiting-on-t-lang,1,['rust-lang_rust']
S-waiting-on-t-libs,1,['rust-lang_rust']
S-waiting-on-t-libs-api,1,['rust-lang_rust']
S-waiting-on-t-opsem,1,['rust-lang_rust']
S-waiting-on-t-rustdoc,1,['rust-lang_rust']
S-waiting-on-t-rustdoc-frontend,1,['rust-lang_rust']
S-waiting-on-t-types,1,['rust-lang_rust']
S-waiting-on-team,1,['rust-lang_rust']
stable-accepted,1,['rust-lang_rust']
stable-nominated,1,['rust-lang_rust']
status: backported,1,['spring-projects_spring-framework']
status: bulk-closed,1,['spring-projects_spring-framework']
needs a test,1,['vim_vim']
needs feedback,1,['vim_vim']
needs more work,1,['vim_vim']
needs-minor-patch,1,['vim_vim']
Priority-Medium,1,['vim_vim']
un-reproducible,1,['vim_vim']
xxd,1,['vim_vim']
for: merge-with-amendments,1,['spring-projects_spring-boot']
for: planning,1,['spring-projects_spring-boot']
for: team-attention,1,['spring-projects_spring-boot']
for: team-meeting,1,['spring-projects_spring-boot']
status: back-port,1,['spring-projects_spring-boot']
status: first-timers-only,1,['spring-projects_spring-boot']
status: forward-port,1,['spring-projects_spring-boot']
