representative_label_by_embedding,count,representative_label_by_count,count,total_count,cluster
bug report,42,bug,14650,14916,"['bug', 'bugs', 'issue', 'fix', 'bug fix', 'issue comment', 'issues', 'bug report', 'bugfix', 'general issue', 'feature bug', 'fix it', 'bug introduction', 'issue type/bug', 'bug fix request', 'minor issue', 'minor bug', 'issue list', 'suggest fix', 'fix needed', 'issue report']"
improvement,316,enhancement,1655,1977,"['enhancement', 'improvement', 'language enhancement', 'language improvement', 'general improvement']"
topic:documentation,2,documentation,2591,2728,"['documentation', 'doc issue', 'reference manual', 'type: documentation', 'documentation bug', 'domain: documentation', 'documentation issue', 'domain:documentation', 'category: documentation', 'reference guide', 'documentation inconsistency', 'topic/documentation', 'documentation generation', 'type:documentation', 'topic:documentation', 'reference docs', 'doc bug', 'documentation needed', 'documentation suggestion', 'documentation request']"
dependencies,305,dependency upgrade,971,3174,"['dependency update', 'dependency upgrade', 'dependency management', 'dependency', 'dependency resolution', 'dependencies', 'dependency conflict', 'dependency injection', 'dependency issue', 'circular dependency', 'dependencyinjection', 'dependency issues', 'library dependency', 'dependencyupgrade', 'dependencymanagement', 'dependencyupdate', 'dependencyresolution', 'peer dependencies', 'dependency check', 'runtime dependency', 'dependency problem', 'external dependency', 'dev dependencies', 'optional dependencies', 'package dependency', 'type:dependency upgrade', 'domain: dependency management', 'domain:dependencies', 'third party dependency', 'dependency bump', 'topic:dependency management', 'cyclic dependency', 'missing dependency', 'transitive dependency', 'circular dependencies', 'upstream dependency', 'platform dependencies', 'dependencies upgrade', 'dependencies update', 'optional dependency']"
testing,1629,testing,1629,4293,"['test failure', 'testing', 'test', 'integration test', 'testfailure', 'flaky test', 'test framework', 'testcontainers', 'integration tests', 'compiletest', 'test failures', 'test infrastructure', 'test flaky', 'test suite', 'tests', 'vitest', 'unittest', 'area/testing', 'test improvement', 'test missing', 'go test', 'test related', 'ui tests', 'compile test', 'test enhancement', 'a code coverage', 'unit testing', 'regtest', 'system tests', 'unit tests', 'test issue', 'integrationtests', 'integrationtest', 'unit test', 'test results', 'test coverage', 'runtime test', 'test case', 'test execution', 'unit test failure', 'test strategy', 'it test', 'test integration', 'integration testing', 'testkit', 'domain: testing', 'domain:testing', 'testing issue', 'testing failure', 'area: testing', 'test/failure', 'domain/testing', 'topic: testing', 'go/test', 'area testing', 'testing infrastructure', 'parallel testing', 'ui test', 'code coverage', 'test logic', 'functional test', 'build test', 'functional tests', 'test environment', 'system test', 'integ test', 'test kit', 'randomized testing', 'integration test failure', 'disabled test', 'unittest failure', 'internal tests', 'skip test', 'testability', 'flaky tests', 'test bug', 'test configuration', 'ci system tests', 'profile integ tests', 'concurrent test', 'test context']"
compiler issue,11,compiler,1145,3144,"['compiler', 'compiler error', 'compile error', 'compiler bug', 'compile time', 'compilation', 'compiler behavior', 'compile', 'linker', 'compiler internal', 'compiler warning', 'compilation error', 'cross compilation', 'compiler lint', 't compiler', 'compiler suggestion', 'compiler crash', 'compile time error', 'compiler optimization', 'compiler errors', 'compiling', 'compiler rt', 'compilers', 'code optimization', 'cross compile', 'compiler feedback', 'compiler frontend', 'compiler panic', 'compiler builtins', 'a compiler', 'incremental compilation', 'compiler issue', 'cmd/compile', 'compiler diagnostics', 'compiler intrinsic', 't compiler error', 'compiler warnings', 'compiler design', 'compilation time', 'compile time issue', 'compile time behavior', 'compiler specific', 'compiler internal error', 'compiler interaction', 'internal compiler error', 'compiler regression', 'compiler message', 'miscompile', 'compiler feature', 'runtime warning', 'dynamic compilation', 'compilererror', 'java compiler', 'linker error', 'compilation issue', 'jit compilation', 'internalcompilererror', 'compiler flags', 'linker issue', 'cmd compile', 'domain: compiler', 'language compiler', 'conditional compilation', 'compiler issues', 'compiler bugs', 'domain compiler', 'compiler features', 'compiler implementation', 'jit compiler', 'dynamic compiler', 'compiler optimizations', 'compiler assertion', 'compilation bug', 'compiler interpretation', 'compiler configuration', 'compile failure', 'compilation failure', 'linker problem', 'compiler verification', 'category: compilation', 'compiler diagnostic', 'compile fail', 'function compilation', 'cpp compile error', 'cpp issue']"
feature proposal,2,feature request,2225,2785,"['feature request', 'feature', 'features', 'new feature', 'featurerequest', 'feature discussion', 'missing feature', 'feature index', 'feature management', 'feature proposal', 'feature gate', 'type: feature request', 'type:feature request', 'category:feature request', 'unimplemented feature', 'category feature request', 'feature requests', 'feature change', 'feature interaction']"
ui,1340,ui,1340,2223,"['ui', 'ux', 'user interface', 'user experience', 'usability', 'interface', 'ui ux', 'ui enhancement', 'interactive', 'ui improvement', 'ui/ux', 'ui design', 'ui interaction', 'ui layout', 'interaction', 'ui feature', 'ui customization', 'domain: user experience', 'ui appearance', 'user interfaces', 'user interaction', 'gui improvement', 'ui suggestion', 'ui look and feel', 'ui upgrade', 'ui request', 'ui change']"
build related,3,build,895,1806,"['build', 'build system', 'build failure', 'build process', 'buildpack', 'build error', 'build issue', 'buildpacks', 'build performance', 't build system', 'build related', 'build info', 'build issues', 'x/build', 'buildinfo', 'build id', 'buildmode', 'release build', 'build script', 'incremental build', 'build configuration', 'topic:build', 'production build', 'package build', 'build problem', 'windows build', 'insider build', 'canary build', 'build mode', 'build tool configuration', 'build output', 'reproducible builds', 'build time', 'build pack']"
api use,2,api,829,1473,"['api', 'api change', 'api design', 'api proposal', 'rest api', 'api documentation', 'api clarity', 'api compatibility', 'api enhancement', 'api breaking change', 'api reference', 'api deprecation', 'api improvement', 'api behavior', 'api docs', 'api error', 'api usage', 'api issue', 'api breaking', 'api consistency', 'api incompatibility', 'api request', 'api missing', 'web api', 'api review', 'api removal', 'api update', 'api doc', 'api testing', 'internal api', 'n api', 'unstable api', 'api stability', 'api regression', 'api bug', 'api upgrade', 'api access', 'api integration', 'client api', 'domain: api', 'api exposure', 'domain: api design', 'topic: api', 'web apis', 'category: api', 'topic: api change', 'deprecated api', 'api keys', 'api mismatch', 'public api', 'api version', 'api client', 'api evolution', 'api suggestion', 'api compliance', 'api use']"
